职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
Java高级工程师,股份制企业,100-499人,2019-09-20 14:18:32,本科,软件/互联网开发/系统集成,5-10年,北京东悦禾科技发展有限公司,15K-18K,北京,五险一金交通补助节日福利创业公司绩效奖金
短期突击JAVA开发,民营,20人以下,2019-09-20 14:17:39,大专,软件/互联网开发/系统集成,3-5年,重庆务实电子商务有限公司,3K-6K,重庆,创业公司
Java工程师-金融项目-HR,民营,500-999人,2019-09-20 14:02:36,大专,软件/互联网开发/系统集成,3-5年,深圳市拓保软件有限公司成都分公司,10K-16K,成都,定期体检员工旅游节日福利弹性工作五险一金
Java开发工程师,民营,100-499人,2019-09-20 14:25:15,本科,软件/互联网开发/系统集成,3-5年,上海蓝色星球科技股份有限公司,13K-22K,上海,五险一金绩效奖金餐补通讯补助带薪年假
JAVA-SE,上市公司,1000-9999人,2019-09-20 14:02:10,大专,软件/互联网开发/系统集成,1-3年,广州赛意信息科技股份有限公司,10K-15K,武汉-江夏区,
Java开发工程师,民营,100-499人,2019-09-20 14:17:02,本科,软件/互联网开发/系统集成,3-5年,知好乐教育科技集团有限公司,15K-30K,北京,五险一金绩效奖金加班补助带薪年假
java开发工程师,民营,20-99人,2019-09-20 14:27:13,本科,软件/互联网开发/系统集成,1-3年,华炫鼎盛(北京)科技有限公司,10K-15K,北京,五险一金年底双薪交通补助餐补通讯补助
初级JAVA,民营,500-999人,2019-09-20 13:14:19,大专,软件/互联网开发/系统集成,不限,江苏豪之诺软件科技有限公司上海分公司,4K-6K,上海,周末双休五险一金年底双薪加班补助节日福利
java开发工程师.,上市公司,1000-9999人,2019-09-20 14:03:34,大专,软件/互联网开发/系统集成,3-5年,深圳市网新新思软件有限公司,10K-17K,深圳,五险一金周末双休节日福利加班补助
java开发工程师,民营,20-99人,2019-09-20 13:14:02,本科,软件/互联网开发/系统集成,3-5年,北京才鼎通信息技术有限公司,15K-20K,北京-海淀区,五险一金周末双休
高级Java工程师,民营,100-499人,2019-09-20 14:02:02,本科,软件/互联网开发/系统集成,3-5年,合肥英泽信息科技有限公司,10K-15K,武汉,五险一金周末双休带薪年假节日福利
Java高级工程师,股份制企业,100-499人,2019-09-20 14:20:50,本科,软件/互联网开发/系统集成,5-10年,数据堂(北京)科技股份有限公司,15K-25K,北京-海淀区,五险一金绩效奖金股票期权弹性工作定期体检
中高级java开发工程师,民营,20-99人,2019-09-20 13:01:02,本科,软件/互联网开发/系统集成,3-5年,北京才鼎通信息技术有限公司,15K-20K,北京-海淀区,五险一金周末双休
高级java研发工程师,民营,20-99人,2019-09-20 14:15:11,本科,软件/互联网开发/系统集成,5-10年,新译信息科技(北京)有限公司,25K-30K,北京,周末双休弹性工作餐补交通补助五险一金
高级软件开发工程师java,民营,20人以下,2019-09-20 14:04:32,大专,软件/互联网开发/系统集成,3-5年,广州市米奥信息科技有限公司,6K-12K,广州-黄埔区,五险一金绩效奖金年终分红加班补助全勤奖
JAVA开发工程师-郑州,民营,100-499人,2019-09-20 14:14:18,本科,软件/互联网开发/系统集成,1-3年,北京华晨阳通信技术有限责任公司,4K-8K,郑州,年底双薪餐补通讯补助带薪年假员工旅游
