职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
Java开发助理（人工智能）/五险一金,民营,20-99人,2019-09-19 19:48:02,大专,软件/互联网开发/系统集成,不限,沈阳市浑南区智森计算机软件开发设计有限公司,3.5K-4.5K,沈阳,五险一金节日福利带薪年假周末双休每年多次调薪
Java+Python人工智能实习生,股份制企业,100-499人,2019-09-20 09:21:54,大专,软件/互联网开发/系统集成,不限,北京林枫科技有限公司,5K-8K,长春,五险一金带薪年假每年多次调薪周末双休年底双薪
Java+Python人工智能实习生,股份制企业,100-499人,2019-09-20 09:21:54,大专,软件/互联网开发/系统集成,不限,北京林枫科技有限公司,5K-8K,呼和浩特,五险一金带薪年假每年多次调薪周末双休年底双薪
Python开发实习+人工智能开发助理,民营,20-99人,2019-09-20 09:31:20,大专,软件/互联网开发/系统集成,不限,无锡辰达网络科技有限公司,4K-6K,无锡,五险一金年底双薪绩效奖金14薪周末双休
Java+Python人工智能实习生,股份制企业,100-499人,2019-09-20 09:21:54,大专,软件/互联网开发/系统集成,不限,北京林枫科技有限公司,5K-8K,郑州,五险一金带薪年假每年多次调薪周末双休年底双薪
Java+Python人工智能实习生,股份制企业,100-499人,2019-09-20 09:21:54,大专,软件/互联网开发/系统集成,不限,北京林枫科技有限公司,5K-8K,济南,五险一金带薪年假每年多次调薪周末双休年底双薪
软件实施工程师（人工智能）,民营,100-499人,2019-09-20 13:28:42,大专,软件/互联网开发/系统集成,无经验,江苏宝瑞网络技术有限公司,4K-6K,苏州,五险一金年底双薪全勤奖交通补助餐补
人工智能实习工程师,其它,100-499人,2019-09-20 09:57:33,大专,硬件开发,无经验,西安雅卓电子智能科技有限公司,2K-4K,西安,五险一金年底双薪绩效奖金带薪年假节日福利
Java+Python人工智能实习生,股份制企业,100-499人,2019-09-20 09:21:54,大专,软件/互联网开发/系统集成,不限,北京林枫科技有限公司,5K-8K,太原,五险一金带薪年假每年多次调薪周末双休年底双薪
人工智能研发实习生,民营,20-99人,2019-09-20 09:31:21,大专,软件/互联网开发/系统集成,无经验,无锡辰达网络科技有限公司,4K-6K,无锡,五险一金年底双薪绩效奖金14薪周末双休
人工智能实习生,民营,100-499人,2019-09-20 09:23:33,学历不限,其他,不限,深圳道町互联网科技有限公司,6K-8K,深圳-龙华新区,
Java+Python人工智能实习生,股份制企业,100-499人,2019-09-20 09:21:54,大专,软件/互联网开发/系统集成,不限,北京林枫科技有限公司,5K-8K,石家庄,五险一金带薪年假每年多次调薪周末双休年底双薪
python人工智能开发实习生,民营,500-999人,2019-09-19 11:41:02,大专,软件/互联网开发/系统集成,无经验,沈阳多码斯信息技术有限公司,2K-4K,沈阳,
Java+Python人工智能实习生,股份制企业,100-499人,2019-09-20 09:21:54,大专,软件/互联网开发/系统集成,不限,北京林枫科技有限公司,5K-8K,昆明,五险一金带薪年假每年多次调薪周末双休年底双薪
Python人工智能开发实习生,民营,100-499人,2019-09-20 13:28:40,大专,软件/互联网开发/系统集成,不限,江苏宝瑞网络技术有限公司,4K-6K,苏州,五险一金绩效奖金带薪年假加班补助交通补助
Python人工智能开发工程师助理,股份制企业,100-499人,2019-09-20 13:09:59,学历不限,IT运维/技术支持,不限,郑州未之来软件科技有限公司,6K-8K,郑州,14薪每年多次调薪五险一金周末双休绩效奖金
人工智能实习生,股份制企业,10000人以上,2019-09-19 21:38:02,大专,实习生/培训生/储备干部,不限,沈阳东软软件人才培训中心,2K-4K,沈阳,五险一金绩效奖金加班补助交通补助餐补
人工智能实习生,其它,100-499人,2019-09-20 09:57:00,大专,硬件开发,无经验,西安雅卓电子智能科技有限公司,2K-4K,西安,五险一金年底双薪绩效奖金带薪年假节日福利
人工智能/机器人研发实习生,股份制企业,10000人以上,2019-09-19 13:44:03,大专,电子/电器/半导体/仪器仪表,不限,沈阳东软软件人才培训中心,3.5K-4K,沈阳,周末双休五险一金交通补助定期体检免费班车
重点培养+AI人工智能实习生,民营,不限,2019-09-20 09:16:36,中专,软件/互联网开发/系统集成,不限,广州北珠联科技有限公司,6K-8K,广州,五险一金绩效奖金包吃带薪年假全勤奖
Java+Python人工智能实习生,股份制企业,100-499人,2019-09-20 09:21:54,大专,软件/互联网开发/系统集成,不限,北京林枫科技有限公司,5K-8K,沈阳,五险一金带薪年假每年多次调薪周末双休年底双薪
人工智能实习生,民营,500-999人,2019-09-18 22:12:02,大专,实习生/培训生/储备干部,不限,沈阳多码斯信息技术有限公司,4K-6K,沈阳,五险一金年底双薪包吃包住绩效奖金
Java+Python人工智能实习生,股份制企业,100-499人,2019-09-20 09:21:54,大专,软件/互联网开发/系统集成,不限,北京林枫科技有限公司,5K-8K,福州,五险一金带薪年假每年多次调薪周末双休年底双薪
Python工程师/人工智能,股份制企业,100-499人,2019-09-20 08:18:17,学历不限,软件/互联网开发/系统集成,不限,郑州未之来软件科技有限公司,6K-8K,郑州,14薪每年多次调薪五险一金周末双休绩效奖金
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:38:57,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,合肥,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:38:57,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,天津,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:38:57,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,郑州,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:39:24,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,洛阳,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:38:57,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,石家庄,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:38:57,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,沈阳,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:39:24,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,运城,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:39:24,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,廊坊,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:39:24,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,大同,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:39:24,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,吕梁,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:39:24,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,重庆,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:39:24,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,杭州,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:39:24,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,黄冈,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:39:24,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,包头,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:38:57,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,贵阳,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:38:57,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,西安,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:39:24,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,张家口,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:39:24,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,秦皇岛,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:38:57,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,西宁,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:38:57,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,太原,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:38:57,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,昆明,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:38:57,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,长春,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:38:57,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,南京,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:39:24,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,邢台,五险一金年底双薪带薪年假每年多次调薪周末双休
Python人工智能开发助理,民营,不限,2019-09-20 09:16:45,中专,软件/互联网开发/系统集成,不限,广州北珠联科技有限公司,6K-8K,广州,五险一金绩效奖金包吃带薪年假全勤奖
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:38:57,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,呼和浩特,五险一金年底双薪带薪年假每年多次调薪周末双休
顺义祥云小镇 人工智能+专注力训练 高级课程顾问,民营,20-99人,2019-09-20 11:54:12,大专,销售业务,3-5年,聚思空间教育咨询(北京)有限责任公司,10K-15K,北京-顺义区,五险一金餐补通讯补助工作居住证
人工智能助理,股份制企业,500-999人,2019-09-20 13:18:40,大专,软件/互联网开发/系统集成,不限,粤嵌众创科技(深圳)有限公司龙岗分公司,6K-8K,深圳,五险一金全勤奖年底双薪绩效奖金带薪年假
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:38:57,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,长沙,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:39:24,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,邯郸,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能（助理）,民营,100-499人,2019-09-19 10:00:30,大专,软件/互联网开发/系统集成,不限,深圳市腾尚时代互联网科技有限公司,8K-10K,深圳,五险一金包住全勤奖
人工智能实习生,国企,1000-9999人,2019-09-19 13:25:05,硕士,软件/互联网开发/系统集成,不限,博奥生物集团有限公司,4K-6K,北京,交通补助餐补周末双休补充医疗保险定期体检
人工智能开发工程师助理 实习生（五险）,民营,100-499人,2019-09-20 13:06:46,大专,软件/互联网开发/系统集成,不限,郑州海之角软件科技有限公司,4K-6K,郑州,五险一金绩效奖金全勤奖包住餐补
人工智能研发工程师,股份制企业,100-499人,2019-09-20 09:34:53,本科,电信/通信技术开发及应用,1-3年,南京哪玩国际旅行社有限公司,15K-20K,南京-鼓楼区,五险一金全勤奖餐补节日福利员工旅游
人工智能检测助理（五险一金+双休）,股份制企业,20-99人,2019-09-20 13:32:56,大专,实习生/培训生/储备干部,不限,深圳市鹏力易视科技有限公司,6K-8K,深圳-南山区,五险一金年底双薪包吃包住弹性工作
大数据及人工智能测试师,民营,1000-9999人,2019-09-20 14:08:11,本科,IT质量管理/测试/配置管理,1-3年,亿达信息技术有限公司成都分公司,7K-10K,成都-高新区,五险一金年底双薪加班补助带薪年假弹性工作
AI人工智能开发实习生,股份制企业,500-999人,2019-09-19 16:36:56,学历不限,软件/互联网开发/系统集成,无经验,北京百联时代科技有限公司,6K-8K,北京,
人工智能检测助理（五险一金+双休）,股份制企业,20-99人,2019-09-20 13:32:56,大专,实习生/培训生/储备干部,不限,深圳市鹏力易视科技有限公司,6K-8K,深圳-南山区,五险一金年底双薪包吃包住弹性工作
大数据及人工智能测试师,民营,1000-9999人,2019-09-20 14:08:11,本科,IT质量管理/测试/配置管理,1-3年,亿达信息技术有限公司成都分公司,7K-10K,成都-高新区,五险一金年底双薪加班补助带薪年假弹性工作
AI人工智能开发实习生,股份制企业,500-999人,2019-09-19 16:36:56,学历不限,软件/互联网开发/系统集成,无经验,北京百联时代科技有限公司,6K-8K,北京,
人工智能检测助理/实习（提供宿舍双休）,股份制企业,20-99人,2019-09-20 13:39:18,大专,机械设计/制造/维修,不限,深圳市凡辰芯科技有限公司,6K-8K,深圳-南山区,五险一金绩效奖金节日福利全勤奖通讯补助
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:38:57,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,北京,五险一金年底双薪带薪年假每年多次调薪周末双休
人工智能算法工程师实习生-医学图像,民营,20-99人,2019-09-19 16:50:16,硕士,实习生/培训生/储备干部,无经验,生仝智能科技(北京)有限公司,4K-8K,北京,五险一金绩效奖金餐补定期体检弹性工作
4500人工智能检测实习生/+包吃住,民营,100-499人,2019-09-20 11:13:37,大专,互联网产品/运营管理,无经验,深圳泽派信息技术有限公司,4K-8K,深圳-龙华新区,14薪五险一金全勤奖餐补房补
大客户销售（人工智能）,民营,100-499人,2019-09-20 12:10:30,本科,销售管理,3-5年,北京捷通华声科技股份有限公司,8K-15K,长沙,五险一金绩效奖金全勤奖交通补助通讯补助
人工智能工程师助理,民营,100-499人,2019-09-20 09:13:40,学历不限,软件/互联网开发/系统集成,不限,北京博雅环球教育科技有限公司内蒙古分公司,3K-6K,呼和浩特,五险一金绩效奖金交通补助通讯补助采暖补贴
大客户销售（人工智能）,民营,100-499人,2019-09-20 12:10:30,本科,销售管理,3-5年,北京捷通华声科技股份有限公司,8K-15K,长沙,五险一金绩效奖金全勤奖交通补助通讯补助
python工程师 人工智能工程师,上市公司,10000人以上,2019-09-20 14:02:31,中专,软件/互联网开发/系统集成,不限,卓云科技服务(长春)有限公司,6K-8K,长春,住房补贴五险一金绩效奖金补充医疗保险创业公司
人工智能研发工程师（2020届校园招聘）-福州,国企,1000-9999人,2019-09-20 10:45:38,本科,软件/互联网开发/系统集成,无经验,中电福富信息科技有限公司,5K-10K,福州,五险一金带薪年假定期体检
人工智能研发工程师,股份制企业,500-999人,2019-09-20 09:42:19,硕士,软件/互联网开发/系统集成,无经验,泰康在线财产保险股份有限公司,10K-15K,北京,绩效奖金采暖补贴免费班车定期体检五险一金
人工智能训练工程师,民营,100-499人,2019-09-20 12:10:50,本科,互联网产品/运营管理,不限,北京捷通华声科技股份有限公司,4K-8K,乌鲁木齐,五险一金项目奖金周末双休公司重点项目
AI人工智能实习生（助理）,民营,100-499人,2019-09-20 09:23:09,中专,软件/互联网开发/系统集成,不限,深圳道町互联网科技有限公司,8K-10K,深圳-龙岗区,五险一金加班补助带薪年假弹性工作通讯补助
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:38:57,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,武汉,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:39:24,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,上海,五险一金年底双薪带薪年假每年多次调薪周末双休
人工智能开发工程师,民营,20-99人,2019-09-19 10:54:20,本科,软件/互联网开发/系统集成,不限,北京金三百资产管理有限公司,15K-30K,北京,绩效奖金年终分红五险一金弹性工作大牛带队
AI人工智能实习生,民营,100-499人,2019-09-20 09:23:07,大专,软件/互联网开发/系统集成,无经验,深圳道町互联网科技有限公司,8K-10K,深圳-龙岗区,五险一金加班补助带薪年假弹性工作通讯补助
人工智能开发工程师,上市公司,10000人以上,2019-09-20 13:58:12,本科,IT运维/技术支持,不限,富士康科技集团郑州科技园,6K-8K,郑州,带薪年假节日福利免费班车定期体检加班补助
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:39:24,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,成都,五险一金年底双薪带薪年假每年多次调薪周末双休
JAVA开发-人工智能产品方向,股份制企业,100-499人,2019-09-20 10:59:32,本科,软件/互联网开发/系统集成,1-3年,北京中科汇联科技股份有限公司,10K-15K,北京,五险一金绩效奖金餐补带薪年假弹性工作
Python人工智能工程师助理,上市公司,100-499人,2019-09-20 14:31:56,本科,软件/互联网开发/系统集成,不限,粤嵌众创科技(深圳)有限公司,8K-10K,深圳,五险一金包住高温补贴节日福利年终分红
AI 人工智能开发工程师,民营,100-499人,2019-09-19 09:38:07,本科,IT质量管理/测试/配置管理,不限,阁瑞钛伦特软件(北京)有限公司,6K-8K,北京,五险一金年底双薪绩效奖金加班补助交通补助
AI人工智能（实习生）8K起,民营,100-499人,2019-09-20 09:20:44,本科,实习生/培训生/储备干部,不限,深圳道町互联网科技有限公司,8K-10K,深圳-龙岗区,五险一金年底双薪绩效奖金加班补助带薪年假
AI人工智能,民营,100-499人,2019-09-20 09:23:07,本科,软件/互联网开发/系统集成,不限,深圳道町互联网科技有限公司,10K-15K,深圳-龙岗区,五险一金加班补助带薪年假弹性工作通讯补助
人工智能算法工程师,上市公司,100-499人,2019-09-19 09:24:42,硕士,软件/互联网开发/系统集成,无经验,北京京投亿雅捷交通科技有限公司,15K-20K,北京,周末双休餐补五险一金年底双薪绩效奖金
人工智能（无人驾驶方向）10k起,民营,100-499人,2019-09-20 09:20:47,本科,软件/互联网开发/系统集成,不限,深圳道町互联网科技有限公司,8K-10K,深圳-龙岗区,五险一金年底双薪绩效奖金加班补助带薪年假
AI人工智能实习,民营,100-499人,2019-09-20 09:23:21,大专,软件/互联网开发/系统集成,不限,深圳道町互联网科技有限公司,10K-15K,深圳-龙岗区,五险一金加班补助带薪年假弹性工作通讯补助
人工智能助理/实习生,民营,100-499人,2019-09-20 09:13:46,学历不限,实习生/培训生/储备干部,不限,北京博雅环球教育科技有限公司内蒙古分公司,3K-6K,呼和浩特,五险一金绩效奖金交通补助通讯补助带薪年假
AI人工智能工程师,事业单位,100-499人,2019-09-20 10:38:57,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,6K-9K,济南,五险一金年底双薪带薪年假每年多次调薪周末双休
AI人工智能实习生,民营,100-499人,2019-09-20 09:21:35,本科,软件/互联网开发/系统集成,不限,深圳道町互联网科技有限公司,8K-10K,深圳-龙岗区,五险一金年底双薪绩效奖金加班补助带薪年假
