职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
投资经理助理,民营,20-99人,2019-09-20 09:22:35,本科,证券/期货/投资管理/服务,1-3年,济南兴信股权投资基金管理有限公司,4K-6K,济南-历下区,五险一金全勤奖带薪年假节日福利绩效奖金
理财经理,股份制企业,500-999人,2019-09-20 09:49:04,本科,证券/期货/投资管理/服务,不限,华夏基金管理有限公司,8K-16K,南京-鼓楼区,五险一金带薪年假定期体检餐补通讯补助
客户经理,股份制企业,1000-9999人,2019-09-20 10:02:12,大专,证券/期货/投资管理/服务,不限,方正证券股份有限公司,8K-10K,焦作,五险一金绩效奖金餐补交通补助定期体检
方正证券郑州农业路营业部－客户经理、经纪人、团队长,股份制企业,1000-9999人,2019-09-20 11:14:02,大专,证券/期货/投资管理/服务,不限,方正证券股份有限公司,8K-10K,郑州,弹性工作带薪年假定期体检补充医疗保险节日福利
投资总监,民营,20-99人,2019-09-20 10:13:36,本科,证券/期货/投资管理/服务,3-5年,重庆成长工场有限公司,30K-50K,重庆,五险一金股票期权餐补
客户经理,合资,20-99人,2019-09-20 09:28:29,大专,证券/期货/投资管理/服务,1-3年,上海野狼资产管理有限公司,6K-8K,上海,
理财经理,股份制企业,500-999人,2019-09-20 09:40:03,本科,证券/期货/投资管理/服务,不限,华夏基金管理有限公司,8K-16K,成都-高新区,五险一金带薪年假定期体检餐补通讯补助
香港金融投资理财顾问,民营,500-999人,2019-09-20 09:38:55,大专,证券/期货/投资管理/服务,不限,深圳市盟大商务咨询有限公司,15K-20K,深圳,五险一金绩效奖金弹性工作员工旅游节日福利
海外理财客户经理  公司提供客户,民营,20-99人,2019-09-20 09:21:21,本科,销售业务,不限,深圳前海优悦科技有限公司,20K-30K,北京-朝阳区,节日福利五险一金带薪年假员工旅游绩效奖金
投资调研员,民营,20人以下,2019-09-20 09:08:14,本科,市场,不限,深圳星睿资产管理有限公司,4K-6K,深圳,创业公司五险一金
豪宅投资顾问/大客户管理,民营,500-999人,2019-09-20 11:09:19,本科,销售管理,不限,上海丽兹行房地产经纪有限公司SH-Y10,10K-15K,上海,六险一金绩效奖金带薪年假每年多次调薪试用期全额
理财经理,股份制企业,500-999人,2019-09-20 09:31:04,本科,证券/期货/投资管理/服务,不限,华夏基金管理有限公司,8K-16K,广州-天河区,五险一金带薪年假定期体检餐补通讯补助
基金项目经理,外商独资,100-499人,2019-09-20 09:30:55,大专,证券/期货/投资管理/服务,3-5年,美加易汇(深圳)企业管理有限公司广西分公司,30K-50K,南宁,五险试用期全额出国游周末双休弹性工作
项目经理,股份制企业,100-499人,2019-09-20 09:45:39,大专,证券/期货/投资管理/服务,1-3年,金汇国际投资基金管理(北京)有限公司,10K-15K,深圳,五险一金绩效奖金年终分红加班补助带薪年假
投资顾问（8K+双休+高提成）,民营,100-499人,2019-09-20 11:32:19,大专,销售业务,无经验,武汉圣世玄德网络传媒有限公司,8.5K-12K,武汉,周末双休绩效奖金全勤奖餐补房补
理财经理,股份制企业,500-999人,2019-09-20 09:31:01,本科,证券/期货/投资管理/服务,不限,华夏基金管理有限公司,8K-16K,北京,五险一金带薪年假定期体检餐补通讯补助
高级客户经理,外商独资,100-499人,2019-09-20 09:30:55,大专,证券/期货/投资管理/服务,1-3年,美加易汇(深圳)企业管理有限公司广西分公司,20K-30K,南宁,五险试用期全额出国游周末双休弹性工作
客户经理,其它,20-99人,2019-09-20 14:25:26,大专,证券/期货/投资管理/服务,不限,中航证券有限公司郑州中原东路证券营业部,4K-6K,郑州,五险一金绩效奖金餐补带薪年假补充医疗保险
证券公司客户经理,国企,1000-9999人,2019-09-20 09:59:56,大专,证券/期货/投资管理/服务,不限,华龙证券股份有限公司合肥亳州路证券营业部,3K-6K,合肥,周末双休五险一金员工旅游不加班弹性工作
东莞证券理财经理,国企,1000-9999人,2019-09-20 10:44:16,大专,证券/期货/投资管理/服务,不限,东莞证券股份有限公司东莞东城分公司,2K-4K,东莞,五险一金绩效奖金加班补助带薪年假定期体检
投资主管,民营,1000-9999人,2019-09-20 08:41:26,本科,证券/期货/投资管理/服务,1-3年,大禹节水集团股份有限公司,6K-10K,廊坊-广阳区,带薪年假节日福利绩效奖金五险一金餐补
团队经理团队主管,民营,1000-9999人,2019-09-20 14:10:45,大专,销售管理,3-5年,中永诺信华富投资基金管理(北京)有限公司合肥第二分公司,15K-20K,合肥,五险一金全勤奖通讯补助带薪年假弹性工作
中国人寿高薪诚聘优才／储备经理－南山 ,国企,1000-9999人,2019-09-20 09:38:54,大专,证券/期货/投资管理/服务,1-3年,中国人寿保险股份有限公司深圳市分公司,10K-15K,深圳,绩效奖金全勤奖弹性工作带薪年假补充医疗保险
中国人寿团队客户经理－南山,国企,1000-9999人,2019-09-20 09:38:49,大专,证券/期货/投资管理/服务,1年以下,中国人寿保险股份有限公司深圳市分公司,10K-15K,深圳,绩效奖金全勤奖弹性工作带薪年假补充医疗保险
理财经理,股份制企业,500-999人,2019-09-20 09:37:04,本科,证券/期货/投资管理/服务,不限,华夏基金管理有限公司,8K-16K,杭州-西湖区,五险一金带薪年假定期体检餐补通讯补助
理财经理,国企,1000-9999人,2019-09-20 13:36:11,本科,证券/期货/投资管理/服务,不限,五矿证券有限公司,4K-6K,深圳,五险一金绩效奖金带薪年假节日福利高温补贴
投资总监,股份制企业,100-499人,2019-09-20 08:37:43,大专,证券/期货/投资管理/服务,3-5年,新湖财富投资管理有限公司哈尔滨分公司,6K-8K,哈尔滨,五险一金绩效奖金股票期权餐补带薪年假
海外理财客户经理  公司提供客户,民营,20-99人,2019-09-20 09:13:17,本科,销售业务,不限,深圳前海优悦科技有限公司,20K-30K,上海,节日福利五险一金带薪年假员工旅游绩效奖金
高级客户经理,国企,1000-9999人,2019-09-20 09:20:23,本科,证券/期货/投资管理/服务,1-3年,中泰证券股份有限公司,4K-6K,秦皇岛,五险一金绩效奖金员工旅游节日福利带薪年假
预算经理,民营,1000-9999人,2019-09-20 08:39:26,本科,财务/审计/税务,5-10年,正中投资集团有限公司,18K-25K,深圳,五险一金年底双薪带薪年假定期体检员工旅游
募资端董事总经理,民营,20-99人,2019-09-20 10:44:31,本科,证券/期货/投资管理/服务,不限,石家庄瑞安股权投资基金管理有限公司,15K-30K,石家庄,五险一金绩效奖金带薪年假节日福利员工旅游
证券/投资客户经理,股份制企业,1000-9999人,2019-09-20 09:37:45,大专,证券/期货/投资管理/服务,不限,南京玲珑星信息科技有限公司,15K-20K,南京,周末双休员工旅游补充医疗保险
（金融、土建、课程顾问优先）/豪宅销售/销售经理,民营,1000-9999人,2019-09-20 13:12:08,本科,证券/期货/投资管理/服务,不限,北京丽兹行房地产顾问有限公司-BJ2,10K-15K,北京,六险一金绩效奖金带薪年假每年多次调薪无试用期
理财顾问（客户经理）,不限,1000-9999人,2019-09-20 14:13:18,本科,证券/期货/投资管理/服务,不限,东方证券股份有限公司抚顺辽中街证券营业部,2K-4K,抚顺,五险一金绩效奖金年终分红交通补助餐补
海外EPC项目经理,外商独资,20人以下,2019-09-20 09:45:01,本科,项目管理/项目协调,10年以上,迪际尔希(北京)咨询有限公司,50K-70K,上海,五险一金绩效奖金交通补助带薪年假通讯补助
客户经理,国企,1000-9999人,2019-09-20 09:28:29,本科,证券/期货/投资管理/服务,3-5年,万和证券股份有限公司,6K-8K,南通,五险一金绩效奖金
投资策划中心副总经理/总经理助理,股份制企业,500-999人,2019-09-20 14:19:28,本科,销售业务,5-10年,深圳中集地产发展有限公司,薪资面议,深圳-南山区,五险一金绩效奖金年终分红股票期权带薪年假
外资销售经理,股份制企业,10000人以上,2019-09-20 09:26:07,大专,证券/期货/投资管理/服务,3-5年,中意人寿保险有限公司河南省分公司金融客户部,30K-50K,郑州,周末双休出国游年终分红定期体检员工旅游
客户经理,民营,20-99人,2019-09-20 14:10:20,大专,证券/期货/投资管理/服务,1-3年,日照泓德易非股权投资基金管理中心(有限合伙),8K-16K,德州-德城区,五险一金绩效奖金全勤奖带薪年假周末双休
营销公司总经理,民营,20-99人,2019-09-20 14:10:11,大专,高级管理,10年以上,深圳市淘游国际旅行社有限公司,50K-70K,深圳-福田区,五险一金绩效奖金年终分红带薪年假节日福利
营销经理,民营,20-99人,2019-09-20 09:25:00,大专,销售管理,1-3年,浙江华睿控股有限公司,5K-9K,杭州,五险一金带薪年假定期体检高温补贴股票期权
大客户经理,民营,100-499人,2019-09-20 14:09:21,大专,证券/期货/投资管理/服务,1-3年,山东拓宝投资有限公司,15K-20K,济南,绩效奖金年终分红带薪年假不加班周末双休
财富顾问部经理（职能管理序列）,国企,10000人以上,2019-09-20 08:39:29,本科,证券/期货/投资管理/服务,5-10年,光大证券股份有限公司上海张杨路证券营业部,10K-15K,上海,五险一金交通补助通讯补助带薪年假弹性工作
营销经理,国企,不限,2019-09-20 14:08:24,本科,证券/期货/投资管理/服务,不限,中航证券有限公司青岛闽江路证券营业部,4K-6K,青岛,五险一金绩效奖金餐补带薪年假定期体检
