职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
产品经理,民营,100-499人,2019-09-20 14:24:21,本科,互联网产品/运营管理,5-10年,山东坤尚信息科技有限公司,8K-15K,济南,绩效奖金定期体检五险一金全勤奖员工旅游
电商产品经理,民营,100-499人,2019-09-20 13:45:31,大专,市场,1-3年,新疆观世网络科技有限公司,6K-8K,乌鲁木齐,周末双休带薪年假
产品经理,民营,20-99人,2019-09-20 14:12:33,本科,互联网产品/运营管理,不限,上海影卓信息科技有限公司,10K-20K,上海,五险一金餐补带薪年假补充医疗保险节日福利
产品经理互联网,民营,20-99人,2019-09-20 13:39:01,大专,互联网产品/运营管理,1-3年,山东小洋网络科技有限公司,4K-8K,临沂,五险一金绩效奖金年终分红股票期权加班补助
产品经理,民营,20-99人,2019-09-20 13:46:41,本科,软件/互联网开发/系统集成,3-5年,石家庄首邦科技有限公司,10K-15K,石家庄,五险一金餐补通讯补助周末双休带薪年假
关务产品经理,民营,100-499人,2019-09-20 14:23:21,本科,互联网产品/运营管理,5-10年,昆山华东信息科技有限公司,10K-13K,昆山,五险一金包吃包住带薪年假定期体检
产品经理-化妆品,民营,500-999人,2019-09-20 14:19:08,大专,市场,不限,广东芭薇生物科技股份有限公司,8K-15K,广州,五险一金全勤奖带薪年假定期体检员工旅游
产品经理,民营,20-99人,2019-09-20 14:13:03,大专,互联网产品/运营管理,1-3年,福建学成创想信息科技有限公司,6K-8K,福州,节日福利创业公司弹性工作员工旅游补充医疗保险
产品经理,民营,20-99人,2019-09-20 14:12:16,大专,互联网产品/运营管理,3-5年,北京珍仕菓饮料有限责任公司,10K-15K,北京,创业公司节日福利五险一金年终分红绩效奖金
产品经理,民营,1000-9999人,2019-09-20 13:18:56,大专,市场,3-5年,广东太格尔电源科技有限公司,15K-25K,深圳,带薪年假交通补助餐补通讯补助员工旅游
金融产品经理,其它,20人以下,2019-09-20 14:18:32,大专,银行,3-5年,浙江中念资产管理有限公司,20K-30K,重庆,五险一金绩效奖金包吃带薪年假定期体检
产品经理,民营,100-499人,2019-09-20 14:11:23,本科,互联网产品/运营管理,3-5年,四川弘和通讯有限公司,7K-12K,成都,创业公司五险一金交通补助通讯补助
产品经理,民营,20-99人,2019-09-20 13:25:05,本科,互联网产品/运营管理,3-5年,江苏驭道数据科技有限公司,15K-25K,南京-栖霞区,五险一金餐补通讯补助补充医疗保险定期体检
电商产品经理,民营,100-499人,2019-09-20 14:18:12,大专,互联网产品/运营管理,1-3年,广州市圣诺丝化妆品有限公司,10K-15K,广州-番禺区,加班补助全勤奖员工旅游节日福利带薪年假
金融产品经理,上市公司,1000-9999人,2019-09-20 13:12:44,大专,证券/期货/投资管理/服务,无经验,中国平安人寿保险股份有限公司成都市青羊支公司第一营销服务部骁英团队,10K-15K,成都,五险一金周末双休年终分红绩效奖金全勤奖
运营经理兼产品经理（总监）周末双休 薪资面议,民营,20人以下,2019-09-20 12:46:01,本科,互联网产品/运营管理,3-5年,贵州绿之众科技信息技术有限公司,6K-8K,贵阳,五险一金包吃餐补周末双休节日福利
产品经理,外商独资,1000-9999人,2019-09-20 13:01:47,大专,市场,1年以下,天津杰麦多乐器有限公司,6K-7K,北京-东城区,五险一金绩效奖金定期体检带薪年假周末双休
物流软件产品经理,民营,100-499人,2019-09-20 14:13:03,本科,市场,3-5年,昆山华东信息科技有限公司,10K-13K,昆山,五险一金年底双薪包吃带薪年假定期体检
产品经理,民营,20-99人,2019-09-20 14:07:11,本科,市场,1-3年,广西金奔腾汽车科技有限公司,8K-10K,南宁,全勤奖餐补通讯补助带薪年假周末双休
产品经理,民营,500-999人,2019-09-20 13:59:32,大专,市场,1-3年,名佑(福建)食品有限公司,8K-10K,郑州,五险一金绩效奖金交通补助通讯补助弹性工作
区块链产品经理,民营,不限,2019-09-20 14:19:39,本科,互联网产品/运营管理,3-5年,成都玛尔斯科技有限公司,15K-20K,成都,五险一金节日福利带团队员工旅游
化妆品产品经理,民营,20-99人,2019-09-20 13:43:05,本科,项目管理/项目协调,不限,盛世传美(苏州)生物科技有限公司,6K-8K,苏州,五险一金绩效奖金年终分红交通补助通讯补助
产品经理,不限,不限,2019-09-20 13:19:01,本科,互联网产品/运营管理,3-5年,智联RPO,20K-30K,深圳,周末双休五险一金年底双薪绩效奖金年终分红
金融产品经理岗,股份制企业,10000人以上,2019-09-20 14:07:07,本科,证券/期货/投资管理/服务,无经验,广发证券股份有限公司广州番禺环城东路证券营业部,5K-10K,广州,五险一金绩效奖金年终分红带薪年假定期体检
产品经理,民营,20-99人,2019-09-20 14:27:28,本科,市场,5-10年,云南山青花燃茶业有限公司,10K-15K,广州,绩效奖金五险一金带薪年假员工旅游
产品经理,股份制企业,20-99人,2019-09-20 14:07:15,本科,互联网产品/运营管理,1-3年,鲁班长(深圳)科技有限公司,8K-13K,深圳-福田区,五险一金交通补助住房补贴节日福利
产品经理,民营,20-99人,2019-09-20 14:13:02,大专,市场,5-10年,四川远瞻电子科技有限公司,8K-15K,成都,五险一金绩效奖金全勤奖节日福利弹性工作
产品经理,民营,20-99人,2019-09-20 13:04:02,本科,互联网产品/运营管理,3-5年,北京瑞思天创科技有限公司,15K-25K,上海-静安区,五险一金周末双休带薪年假定期体检补充医疗保险
产品经理（偏项目管理）,民营,20-99人,2019-09-20 14:03:29,本科,互联网产品/运营管理,3-5年,江苏金中微智慧科技有限公司,8K-10K,无锡,五险一金绩效奖金周末双休免费停车节日福利
产品经理,民营,20-99人,2019-09-20 13:39:02,本科,销售管理,1-3年,浙江星未文化艺术有限公司,10K-15K,杭州,
产品经理,民营,20-99人,2019-09-20 12:06:01,本科,市场,3-5年,南京天稻智慧教育科技研究院有限公司,12K-18K,南京,周末双休五险一金餐补加班补助全勤奖
激光雷达产品经理,民营,20-99人,2019-09-20 14:02:23,本科,市场,3-5年,深圳玩智商科技有限公司,20K-30K,深圳-龙岗区,绩效奖金员工旅游创业公司带薪年假五险一金
金融产品经理,上市公司,10000人以上,2019-09-20 12:18:01,本科,证券/期货/投资管理/服务,1-3年,中国平安人寿保险股份有限公司河南分公司金融规划发展部,10K-15K,郑州,周末双休五险一金补充医疗保险不加班弹性工作
产品经理,民营,20-99人,2019-09-20 14:20:11,本科,互联网产品/运营管理,3-5年,安徽游酷网络科技有限公司,6K-10K,合肥,带薪年假周末双休五险一金餐补弹性工作
产品经理,民营,20-99人,2019-09-20 13:47:54,大专,互联网产品/运营管理,3-5年,福州大扬摄影有限公司,10K-20K,福州,五险一金周末双休定期团建弹性工作带薪年假
海外产品经理,股份制企业,20人以下,2019-09-20 14:05:17,大专,旅游/度假/出入境服务,1-3年,广州智游商旅有限公司,10K-15K,广州,五险一金绩效奖金全勤奖带薪年假年终分红
产品经理,民营,20-99人,2019-09-20 12:26:25,本科,市场,不限,河南科盛仪器设备有限公司,15K-20K,郑州,五险一金绩效奖金加班补助全勤奖交通补助
产品经理（家长端）,民营,20人以下,2019-09-20 14:25:34,本科,互联网产品/运营管理,3-5年,北京好学不贵教育科技有限公司,13K-23K,北京,包住弹性工作节日福利创业公司不加班
小程序产品经理,民营,100-499人,2019-09-20 14:18:02,本科,互联网产品/运营管理,5-10年,北京米连科技有限公司,20K-30K,北京,带薪年假创业公司节日福利弹性工作每年多次调薪
电商产品经理,民营,20-99人,2019-09-20 14:12:06,本科,互联网产品/运营管理,5-10年,鬼工科技(北京)有限公司,16K-20K,北京,五险一金年底双薪餐补带薪年假节日福利
产品经理,民营,20-99人,2019-09-20 14:31:26,中专,市场,1-3年,福建沃科教育信息技术有限公司,4K-6K,福州,五险一金节日福利周末双休定期团建员工旅游
ERP Product Manager ERP产品经理,股份制企业,20-99人,2019-09-20 14:26:02,本科,互联网产品/运营管理,1-3年,青岛清原精准农业科技有限公司,6K-12K,青岛,五险一金年底双薪绩效奖金全勤奖带薪年假
区块链高级产品经理,不限,不限,2019-09-20 12:17:03,本科,互联网产品/运营管理,3-5年,智联RPO,15K-25K,深圳-福田区,16薪带薪年假员工旅游五险一金定期团建
