职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
拼多多运营专员,民营,20人以下,2019-09-20 00:50:25,大专,其他,1-3年,安徽聚悦电子商务有限公司杭州分公司,5.5K-10K,杭州,交通补助餐补通讯补助带薪年假节日福利
新媒体运营专员,民营,20-99人,2019-09-20 00:52:07,本科,互联网产品/运营管理,不限,安徽观知天下文化科技有限公司,4K-6K,合肥,五险一金绩效奖金弹性工作带薪年假员工旅游
项目运营专员,合资,100-499人,2019-09-20 00:50:46,本科,项目管理/项目协调,1-3年,上海镁信健康科技有限公司,6K-8K,上海-徐汇区,五险一金周末双休
诚聘5K起新媒体运营专员,民营,100-499人,2019-09-20 00:52:07,大专,互联网产品/运营管理,1-3年,武汉七么肆餐饮管理有限公司,6K-8K,武汉,年底双薪弹性工作五险一金员工旅游创业公司
亚马逊日本运营专员,民营,20人以下,2019-09-20 14:17:15,大专,销售业务,1-3年,深圳酷宜达科技有限公司,6K-12K,深圳,五险一金年底双薪绩效奖金交通补助带薪年假
新媒体广告运营专员,民营,20-99人,2019-09-20 00:50:41,学历不限,互联网产品/运营管理,不限,无锡市稳易企业管理咨询有限公司,5K-8K,无锡-滨湖区,五险一金全勤奖定期体检节日福利带薪年假
新媒体运营专员（市场专员）(J12790),民营,1000-9999人,2019-09-20 00:52:18,本科,互联网产品/运营管理,1-3年,启德教育集团,6K-8K,广州-天河区,五险一金年底双薪绩效奖金带薪年假定期体检
App运营主管（专员）,外商独资,20-99人,2019-09-20 00:52:53,大专,互联网产品/运营管理,3-5年,艾恩姆集团有限公司,8K-12K,厦门,五险一金绩效奖金年终分红全勤奖带薪年假
SEO网站运营专员,民营,20-99人,2019-09-20 00:52:06,学历不限,互联网产品/运营管理,不限,四川华尚聚盛科技有限公司,3K-5K,成都,每年多次调薪绩效奖金加班补助全勤奖带薪年假
运营专员/,民营,20-99人,2019-09-20 00:51:27,学历不限,互联网产品/运营管理,不限,成都创世万物文化传媒有限公司,6K-8K,成都,五险一金弹性工作周末双休
新媒体运营专员,民营,20-99人,2019-09-20 00:50:33,学历不限,互联网产品/运营管理,1-3年,北京安龙脉德医学科技有限公司,8K-10K,北京,五险一金年底双薪交通补助餐补通讯补助
亚马逊日语运营专员（日本站）,民营,20-99人,2019-09-20 00:51:44,大专,互联网产品/运营管理,不限,深圳市壹加叁科技有限公司,7K-14K,深圳,五险一金年底双薪绩效奖金周末双休
运营专员/主管,上市公司,100-499人,2019-09-20 09:48:07,本科,互联网产品/运营管理,3-5年,北京随视传媒科技股份有限公司,7K-14K,北京-朝阳区,五险一金周末双休节日福利
