职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
急聘美工设计,民营,100-499人,2019-09-20 14:31:02,中专,艺术/设计,1-3年,广州路跃运动用品有限公司,4K-8K,广州-番禺区,绩效奖金带团队全勤奖员工旅游节日福利
美工设计,民营,100-499人,2019-09-20 00:50:22,学历不限,艺术/设计,不限,北京欧兰美医疗美容门诊部有限公司,6K-8K,北京,餐补全勤奖
美工设计,民营,20-99人,2019-09-20 14:26:07,大专,艺术/设计,1-3年,河南五季信息技术有限公司,4K-6K,郑州-新郑市,五险一金绩效奖金通讯补助全勤奖餐补
天猫美工,民营,20-99人,2019-09-20 00:52:44,大专,软件/互联网开发/系统集成,不限,宁波宁联国际贸易有限公司,5K-8K,宁波,绩效奖金交通补助高温补贴节日福利
平面美工设计包住,民营,20-99人,2019-09-20 14:02:41,大专,机械设计/制造/维修,不限,深圳市慧智游戏网络有限公司,4K-5K,深圳-南山区,节日福利不加班周末双休五险一金年底双薪
平面美工/设计助理包住,民营,20-99人,2019-09-20 14:03:28,中专,采购/贸易,不限,深圳市德安信息科技有限公司,2K-4K,深圳,五险一金年底双薪绩效奖金全勤奖包住
网页美工/设计助理双休,民营,20-99人,2019-09-20 14:02:41,中专,汽车销售与服务,不限,深圳市慧智游戏网络有限公司,2K-4K,深圳,节日福利周末双休五险一金年底双薪加班补助
天猫美工,民营,20-99人,2019-09-20 14:24:28,大专,艺术/设计,不限,济南美梦缘文化传播有限公司,4K-6K,济南,带薪年假五险每年多次调薪项目奖金
美工,民营,20-99人,2019-09-20 13:41:03,大专,艺术/设计,不限,义乌市丽轶电子商务有限公司,4K-6K,金华-义乌市,餐补房补弹性工作不加班全勤奖
美工设计师（五险一金+带薪年假）,民营,20人以下,2019-09-20 14:34:03,大专,艺术/设计,1年以下,青岛艾凯伦电子商务有限公司,5K-8K,青岛,五险一金绩效奖金定期体检员工旅游带薪年假
美工 资深,民营,100-499人,2019-09-20 14:08:16,大专,广告/会展,3-5年,北京茜茜国际科技有限公司,8K-15K,北京,五险一金绩效奖金年终分红全勤奖带薪年假
初级淘宝美工/美工助理,民营,100-499人,2019-09-20 14:05:19,大专,软件/互联网开发/系统集成,不限,杭州西网信息科技有限公司,4K-6K,杭州-西湖区,绩效奖金全勤奖带薪年假补充医疗保险员工旅游
美工设计,民营,20人以下,2019-09-20 00:51:37,大专,艺术/设计,不限,重庆优杰美商贸有限公司,4K-6K,重庆,五险一金带薪年假弹性工作节日福利定期团建
淘宝京东美工,其它,20人以下,2019-09-20 14:06:23,大专,软件/互联网开发/系统集成,1-3年,上海塔坤实业有限公司,6K-8K,上海,五险一金带薪年假包住员工旅游弹性工作
设计美工,民营,20-99人,2019-09-20 00:52:43,学历不限,软件/互联网开发/系统集成,3-5年,合肥市铭文餐饮食品有限公司,6K-8K,合肥,绩效奖金加班补助全勤奖带薪年假五险一金
网页美工设计助理+双休,民营,20-99人,2019-09-20 14:03:28,中专,人力资源,不限,深圳市德安信息科技有限公司,2K-4K,深圳,五险一金年底双薪绩效奖金全勤奖包住
急聘店铺拍照美工（双休+五险+市中区）,民营,20-99人,2019-09-20 14:25:28,大专,艺术/设计,1-3年,济南奥申工艺品有限公司,4K-6K,济南,五险一金绩效奖金带薪年假弹性工作节日福利
美工设计师,民营,20人以下,2019-09-20 14:17:15,本科,艺术/设计,1-3年,可儿生物科技河北有限公司,4K-7K,石家庄,餐补年终分红公司重点项目
美工,民营,20-99人,2019-09-20 00:52:21,大专,软件/互联网开发/系统集成,1年以下,长春市景翔商贸有限公司,3.2K-4K,长春,员工旅游不加班弹性工作定期体检五险一金
淘宝美工,民营,100-499人,2019-09-20 00:51:54,大专,艺术/设计,1-3年,山东新视象文化传媒有限公司,4K-7K,济南,
亚马逊电商美工,民营,20-99人,2019-09-20 14:01:34,大专,软件/互联网开发/系统集成,1-3年,深圳市沃思宝科技有限公司,5K-8K,深圳-龙华新区,节日福利五险一金绩效奖金全勤奖餐补
诚聘淘宝美工设计/设计师助理/,民营,20-99人,2019-09-20 00:52:38,学历不限,软件/互联网开发/系统集成,3-5年,鞍山朵妈商贸有限公司,8K-10K,鞍山,年底双薪加班补助餐补
运营助理（会美工从客服做起）,民营,20-99人,2019-09-20 00:52:26,大专,互联网产品/运营管理,不限,北京久朋友电器销售有限公司,6K-8K,北京,员工旅游节日福利五险一金包住餐补
美工设计,民营,20-99人,2019-09-20 00:51:36,学历不限,软件/互联网开发/系统集成,不限,烟台莱恩得进出口有限公司,3K-5K,烟台,绩效奖金节日福利不加班员工旅游带薪年假
美工主管,民营,20-99人,2019-09-20 09:34:21,本科,艺术/设计,5-10年,深圳市芬莱雅艺术品有限公司,10K-15K,深圳,五险一金全勤奖房补节日福利
平面美工/设计双休,民营,20-99人,2019-09-20 14:02:41,中专,行政/后勤/文秘,不限,深圳市慧智游戏网络有限公司,2K-4K,深圳,节日福利周末双休五险一金年底双薪加班补助
网页美工实习生/平面设计ui,民营,20-99人,2019-09-20 14:42:41,大专,艺术/设计,不限,无锡辰达网络科技有限公司,4K-6K,苏州,五险一金绩效奖金全勤奖带薪年假
淘宝美工天猫美工,民营,20-99人,2019-09-20 00:51:27,大专,软件/互联网开发/系统集成,1-3年,义乌市知家电子商务有限公司,8K-10K,金华-义乌市,餐补房补加班补助全勤奖
淘宝美工,民营,20-99人,2019-09-20 14:17:41,中专,艺术/设计,1年以下,广州市聚屏电子科技有限公司,3K-6K,广州,社保带薪年假年终奖金员工旅游全勤奖
崇州市商城美工网页设计,民营,20-99人,2019-09-20 14:10:08,大专,艺术/设计,1-3年,成都金信通通信科技有限公司,3K-6K,成都-崇州市,五险一金绩效奖金餐补
美工/设计,民营,100-499人,2019-09-20 08:57:52,大专,艺术/设计,1-3年,北京信宇佳信息科技有限公司,8K-12K,北京,节日福利
Web前端开发、美工,民营,20人以下,2019-09-20 00:50:30,大专,软件/互联网开发/系统集成,3-5年,海南晓晨科技有限公司,5K-8K,海口,
京东美工实习生,股份制企业,100-499人,2019-09-20 14:35:56,中专,软件/互联网开发/系统集成,无经验,微领地众力网络科技(深圳)有限公司,4.5K-6K,深圳,五险一金全勤奖绩效奖金带薪年假项目奖金
