职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
it—数据工程师,合资,100-499人,2019-09-20 13:40:04,本科,IT运维/技术支持,1-3年,上海洋奇信息技术有限公司,6K-8K,南昌-红谷滩新区,五险一金交通补助餐补无试用期弹性工作
大数据开发工程师,股份制企业,100-499人,2019-09-20 10:00:09,本科,软件/互联网开发/系统集成,不限,河南校信通教育科技有限公司,8K-10K,郑州,五险一金加班补助交通补助餐补节日福利
软件研发工程师java,其它,100-499人,2019-09-20 14:21:13,大专,软件/互联网开发/系统集成,1-3年,山西东华软件有限公司,5K-10K,太原,五险一金定期体检带薪年假
Java高级开发工程师,民营,20-99人,2019-09-20 10:47:13,本科,软件/互联网开发/系统集成,5-10年,深圳爱德信科技有限公司,15K-25K,深圳,五险一金绩效奖金全勤奖带薪年假员工旅游
大数据开发实习生,事业单位,100-499人,2019-09-20 10:36:32,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,5K-8K,石家庄,五险一金年底双薪带薪年假每年多次调薪周末双休
大数据开发实习生,事业单位,100-499人,2019-09-20 10:36:32,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,5K-8K,呼和浩特,五险一金年底双薪带薪年假每年多次调薪周末双休
大数据开发实习生,事业单位,100-499人,2019-09-20 10:36:32,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,5K-8K,西宁,五险一金年底双薪带薪年假每年多次调薪周末双休
大数据开发实习生,事业单位,100-499人,2019-09-20 10:36:32,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,5K-8K,天津,五险一金年底双薪带薪年假每年多次调薪周末双休
大数据开发实习生,事业单位,100-499人,2019-09-20 10:36:32,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,5K-8K,长沙,五险一金年底双薪带薪年假每年多次调薪周末双休
大数据开发实习生,事业单位,100-499人,2019-09-20 10:36:32,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,5K-8K,长春,五险一金年底双薪带薪年假每年多次调薪周末双休
大数据开发实习生,事业单位,100-499人,2019-09-20 10:36:32,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,5K-8K,哈尔滨,五险一金年底双薪带薪年假每年多次调薪周末双休
大数据开发实习生,事业单位,100-499人,2019-09-20 10:36:32,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,5K-8K,银川,五险一金年底双薪带薪年假每年多次调薪周末双休
大数据开发实习生,事业单位,100-499人,2019-09-20 10:36:32,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,5K-8K,兰州,五险一金年底双薪带薪年假每年多次调薪周末双休
大数据开发实习生,事业单位,100-499人,2019-09-20 10:36:32,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,5K-8K,沈阳,五险一金年底双薪带薪年假每年多次调薪周末双休
大数据开发实习生,事业单位,100-499人,2019-09-20 10:36:32,大专,软件/互联网开发/系统集成,不限,北京诺鑫亚泰信息技术有限公司,5K-8K,贵阳,五险一金年底双薪带薪年假每年多次调薪周末双休
