职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
电子电器工程师,民营,20-99人,2019-09-20 13:48:04,大专,电子/电器/半导体/仪器仪表,不限,上海至信信息科技有限公司,6K-8K,石家庄,五险一金年底双薪绩效奖金全勤奖交通补助
电子工程师,民营,1000-9999人,2019-09-20 09:01:28,大专,生物/制药/医疗器械,1-3年,深圳市倍泰健康测量分析技术有限公司,6K-8K,深圳-南山区,五险一金加班补助项目奖金定期团建节日福利
电子设计工程师-双休、五险一金、带薪年假,民营,100-499人,2019-09-20 13:02:01,本科,电子/电器/半导体/仪器仪表,不限,西安磁林电气有限公司,6K-8K,西安,五险一金全勤奖带薪年假周末双休免费班车
电力电子工程师,民营,20-99人,2019-09-20 08:35:22,硕士,能源/矿产/地质勘查,1-3年,南京赫曦电气有限公司,10K-20K,南京,绩效奖金年终分红交通补助五险一金创业公司
电力电子软件工程师,民营,20-99人,2019-09-20 12:35:01,本科,软件/互联网开发/系统集成,1-3年,天津铁科运通轨道技术有限公司,8K-15K,天津,
高薪诚聘，电子电气工程师,民营,20-99人,2019-09-20 08:51:16,大专,电子/电器/半导体/仪器仪表,1-3年,深圳市恒鑫隆科技有限公司,6K-10K,深圳,全勤奖包住节日福利员工旅游包吃
电子仪器仪表销售工程师（双休+五险一金）,民营,20-99人,2019-09-20 13:16:10,大专,销售业务,不限,沈阳实拓科技有限公司,4K-6K,哈尔滨-南岗区,五险一金餐补通讯补助带薪年假员工旅游
电子工程师,民营,100-499人,2019-09-20 08:52:08,大专,电子/电器/半导体/仪器仪表,3-5年,比赫电气(太仓)有限公司,7K-10K,太仓市,带薪年假弹性工作周末双休包住
电子工程师,股份制企业,100-499人,2019-09-20 08:50:45,大专,电子/电器/半导体/仪器仪表,3-5年,青岛佳明测控科技股份有限公司,6K-8K,青岛-青岛高新技术产业开发区,五险一金带薪年假节日福利免费班车交通补助
电子、电路相关专业专利代理工程师,民营,20人以下,2019-09-20 10:30:01,本科,律师/法务/合规,不限,南昌青远专利代理事务所(普通合伙),4K-6K,南昌,加班补助定期体检节日福利
电子工程师,民营,20-99人,2019-09-19 20:01:01,大专,电子/电器/半导体/仪器仪表,无经验,上海至信信息科技有限公司,8K-10K,南昌,五险一金绩效奖金加班补助餐补带薪年假
电子电路信息工程师/专利代理师,民营,20-99人,2019-09-19 09:28:59,本科,电子/电器/半导体/仪器仪表,不限,中山市科创专利代理有限公司,5K-10K,中山,社保弹性工作交通补助包住试用期全额
电子工程师,股份制企业,100-499人,2019-09-20 08:50:45,大专,电子/电器/半导体/仪器仪表,3-5年,青岛佳明测控科技股份有限公司,6K-8K,青岛-青岛高新技术产业开发区,五险一金带薪年假节日福利免费班车交通补助
电子工程师/技术员,民营,20-99人,2019-09-20 08:18:02,大专,电子/电器/半导体/仪器仪表,不限,上海迈芯光电科技有限公司,5K-10K,上海,五险一金带薪年假餐补
销售工程师（汽车电子市场）,民营,100-499人,2019-09-20 11:34:21,大专,销售业务,不限,上海霄扬电子科技有限公司,6K-10K,上海-虹口区,五险一金包住通讯补助带薪年假定期体检
电子工程师,民营,500-999人,2019-09-20 08:41:33,大专,电子/电器/半导体/仪器仪表,3-5年,深圳市比耐思体育用品有限公司,10K-15K,深圳-光明新区,五险一金包住餐补周末双休绩效奖金
汽车电子电器软件应用工程师,外商独资,100-499人,2019-09-20 12:44:02,本科,软件/互联网开发/系统集成,不限,上海德萨科电子技术有限公司,8K-15K,南京-栖霞区,14薪五险一金周末双休节日福利员工旅游
电子技术员/助理工程师,民营,100-499人,2019-09-20 10:28:38,大专,电子/电器/半导体/仪器仪表,1-3年,深圳市方维达科技有限公司,5K-8K,深圳,五险一金绩效奖金包住员工旅游节日福利
采购工程师（电子元器件）,上市公司,500-999人,2019-09-20 09:50:04,本科,采购/贸易,3-5年,深圳奥特迅电力设备股份有限公司,6K-10K,深圳,节日福利五险一金年底双薪绩效奖金带薪年假
电子硬件工程师,合资,100-499人,2019-09-20 10:52:16,大专,电子/电器/半导体/仪器仪表,1-3年,上海华屹数码科技有限公司,10K-15K,上海-徐汇区,五险一金绩效奖金加班补助餐补带薪年假
电子电路设计工程师/电子自控工程师,不限,20人以下,2019-09-20 11:33:01,本科,电子/电器/半导体/仪器仪表,3-5年,上海博众测量技术有限公司,8K-12K,上海,五险一金年底双薪员工旅游高温补贴节日福利
电力电子控制软件工程师,民营,100-499人,2019-09-19 23:04:59,硕士,能源/矿产/地质勘查,3-5年,上能电气股份有限公司,8K-15K,无锡-惠山区,五险一金定期体检员工旅游健身俱乐部节日福利
助理电子工程师,股份制企业,20-99人,2019-09-20 08:15:33,本科,生物/制药/医疗器械,不限,杭州瀚科医疗科技有限公司,4K-6K,杭州,周末双休五险一金绩效奖金餐补带薪年假
电子工程师,股份制企业,20-99人,2019-09-20 08:15:32,本科,软件/互联网开发/系统集成,1-3年,杭州瀚科医疗科技有限公司,10K-15K,杭州-余杭区,五险一金年底双薪绩效奖金年终分红股票期权
电子工程师（应届生）,股份制企业,20-99人,2019-09-20 08:15:33,本科,生物/制药/医疗器械,不限,杭州瀚科医疗科技有限公司,4K-6K,杭州,绩效奖金五险一金定期体检餐补
电子技术研发工程师,事业单位,20-99人,2019-09-20 11:46:33,硕士,软件/互联网开发/系统集成,不限,北京大学(天津滨海)新一代信息技术研究院,8K-12K,北京-海淀区,五险一金绩效奖金通讯补助交通补助带薪年假
电子开发工程师/五险一金,民营,20-99人,2019-09-20 11:20:57,本科,电子/电器/半导体/仪器仪表,1-3年,粤能科电子(深圳)有限公司,8K-10K,深圳-南山区,五险一金年底双薪带薪年假员工旅游节日福利
电子信息工程师(中兴员工优先),民营,20-99人,2019-09-20 09:16:30,大专,电子/电器/半导体/仪器仪表,1-3年,深圳过期更新信息技术有限公司,6K-8K,深圳,五险一金年底双薪绩效奖金带薪年假员工旅游
销售工程师_电子元器件,上市公司,100-499人,2019-09-20 10:33:34,大专,销售业务,3-5年,上海鹏雁电子有限公司,10K-15K,上海,五险一金年底双薪绩效奖金带薪年假补充医疗保险
汽车电子电器诊断工程师,外商独资,100-499人,2019-09-20 12:39:02,本科,电子/电器/半导体/仪器仪表,不限,上海德萨科电子技术有限公司,8K-15K,南京-江宁区,14薪五险一金周末双休节日福利员工旅游
电子工程师,民营,20人以下,2019-09-19 00:50:17,大专,电子/电器/半导体/仪器仪表,3-5年,深圳博巨矽科技有限公司,8K-15K,深圳-宝安区,年终分红定期团建五险一金年底双薪绩效奖金
电子实验工程师,合资,20人以下,2019-09-20 10:12:04,大专,汽车销售与服务,3-5年,上海颐昊测试技术有限公司,8K-10K,上海,五险一金绩效奖金加班补助餐补带薪年假
车载电力电子控制软件工程师,外商独资,100-499人,2019-09-20 09:18:02,本科,其他,不限,Antal International,20K-30K,北京,
电子对抗算法工程师,民营,20-99人,2019-09-20 10:20:01,硕士,硬件开发,5-10年,西安睿奥电磁环境科技有限公司,20K-30K,西安,五险一金定期体检节日福利周末双休大牛带队
销售工程师（电力电子产品）,民营,100-499人,2019-09-20 09:25:20,大专,销售管理,1-3年,成都麦隆电气有限公司,5K-8K,成都,五险一金年底双薪绩效奖金包住餐补
高级车载电力电子硬件工程师,外商独资,100-499人,2019-09-20 09:18:18,学历不限,其他,不限,Antal International,20K-30K,北京,
电子开发工程师,合资,20-99人,2019-09-20 09:27:31,大专,电子/电器/半导体/仪器仪表,1-3年,济南闰凯医疗器械有限公司,4K-6K,济南,
电子/电器工程师助理,民营,20-99人,2019-09-20 09:11:06,大专,电子/电器/半导体/仪器仪表,不限,上海至信信息科技有限公司,6K-8K,武汉,周末双休弹性工作交通补助通讯补助员工旅游
专利工程师（电子方向应届生）,民营,500-999人,2019-09-20 10:47:20,本科,律师/法务/合规,无经验,广州华进联合专利商标代理有限公司,5K-10K,北京,五险一金带薪年假不加班绩效奖金弹性工作
电子元器工程师,民营,20-99人,2019-09-20 09:50:03,大专,电子/电器/半导体/仪器仪表,不限,上海至信信息科技有限公司,6K-8K,石家庄,五险一金年底双薪绩效奖金全勤奖交通补助
电力电子控制软件工程师,民营,100-499人,2019-09-19 23:04:59,硕士,能源/矿产/地质勘查,3-5年,上能电气股份有限公司,10K-20K,深圳-南山区,五险一金定期体检员工旅游健身俱乐部节日福利
