职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
急聘4K起UI设计师助理+双休+住宿,民营,20-99人,2019-09-20 09:56:07,中专,销售业务,不限,深圳昌明盛世科技有限公司,5K-8K,深圳,五险一金全勤奖节日福利绩效奖金包吃
ui设计师,民营,不限,2019-09-20 09:55:41,本科,软件/互联网开发/系统集成,3-5年,北京新奥特科技集团有限公司,10K-18K,北京,绩效奖金五险一金带薪年假加班补助交通补助
ui设计师,民营,100-499人,2019-09-19 17:46:51,大专,软件/互联网开发/系统集成,1-3年,上海朗阁教育科技有限公司,8K-10K,上海,绩效奖金年底双薪交通补助餐补通讯补助
UI/网页设计师助理+双休/不加班,民营,100-499人,2019-09-19 10:47:02,学历不限,软件/互联网开发/系统集成,无经验,郑州善撰软件科技有限公司,6K-8K,郑州,周末双休五险一金全勤奖弹性工作带薪年假
初级UI界面设计师,民营,100-499人,2019-09-19 14:02:54,中专,人力资源,不限,广州青翼技术服务有限公司,3K-5K,深圳-宝安区,五险一金年底双薪绩效奖金全勤奖带薪年假
UI设计师,民营,20-99人,2019-09-19 10:24:44,本科,软件/互联网开发/系统集成,1-3年,北京华信杰通科技有限公司,10K-15K,北京,健身俱乐部周末双休五险一金绩效奖金加班补助
UI设计师,国企,20-99人,2019-09-18 09:12:16,本科,软件/互联网开发/系统集成,1-3年,人民政协报网络有限公司,4K-6K,北京-海淀区,五险一金餐补带薪年假定期体检年底双薪
UI设计师,国企,100-499人,2019-09-18 14:38:33,本科,软件/互联网开发/系统集成,1-3年,贵州电子商务云运营有限责任公司,6K-10K,贵阳-观山湖区（金阳新区）,五险一金绩效奖金交通补助餐补定期体检
ui设计师,民营,100-499人,2019-09-19 16:58:52,大专,软件/互联网开发/系统集成,1-3年,北京智融在线教育科技有限公司,15K-20K,北京,带薪年假周末双休绩效奖金出国游定期团建
资深游戏UI设计师,民营,500-999人,2019-09-19 11:09:49,大专,软件/互联网开发/系统集成,3-5年,上海友塔网络科技有限公司,15K-25K,上海-长宁区,五险一金包住包吃餐补全勤奖
游戏UI设计师（中高级）,民营,100-499人,2019-09-20 10:12:47,大专,软件/互联网开发/系统集成,3-5年,上海研游网络科技有限公司广州分公司,10K-15K,广州,五险一金全勤奖包吃绩效奖金节日福利
UI设计师,外商独资,100-499人,2019-09-20 09:08:12,本科,软件/互联网开发/系统集成,3-5年,宇博信诚(北京)信息技术有限公司上海分公司,10K-15K,上海,五险一金年底双薪周末双休定期团建带薪年假
ui设计师,民营,100-499人,2019-09-20 09:40:42,大专,软件/互联网开发/系统集成,无经验,北京博雅环球教育科技有限公司内蒙古分公司,3K-5K,呼和浩特-赛罕区,五险一金年底双薪包住全勤奖通讯补助
游戏UI设计师,民营,20-99人,2019-09-20 11:20:54,大专,软件/互联网开发/系统集成,1-3年,成都爆米花互娱科技有限公司,8K-15K,成都,创业公司五险一金年底双薪全勤奖带薪年假
游戏ui设计师,民营,500-999人,2019-09-19 11:09:50,大专,艺术/设计,不限,上海友塔网络科技有限公司,6K-12K,上海-长宁区,五险一金包吃全勤奖弹性工作定期体检
UI/UE交互设计师,民营,1000-9999人,2019-09-20 11:27:19,本科,软件/互联网开发/系统集成,1-3年,杭州温乐科技有限公司,10K-15K,南京-江宁区,
UI游戏设计师+五险一金,民营,100-499人,2019-09-20 09:22:12,大专,软件/互联网开发/系统集成,1-3年,江苏耀东文化传媒有限公司,4K-6K,无锡,五险一金年底双薪全勤奖带薪年假不加班
ui设计师ue交互设计师,股份制企业,20-99人,2019-09-20 09:23:17,本科,软件/互联网开发/系统集成,3-5年,长沙营智信息技术有限公司,8K-10K,长沙,每年多次调薪全勤奖绩效奖金年底双薪餐补
ui设计师,股份制企业,100-499人,2019-09-19 10:20:31,本科,软件/互联网开发/系统集成,3-5年,西安华炎信息科技有限公司,10K-15K,深圳,
ui设计师助理+包住,上市公司,100-499人,2019-09-19 20:36:04,学历不限,互联网产品/运营管理,不限,深圳市中鹏现代商业美术设计有限公司,4K-6K,深圳,五险一金项目奖金绩效奖金带薪年假节日福利
游戏UI设计师-2年经验,股份制企业,20人以下,2019-09-19 15:26:32,大专,软件/互联网开发/系统集成,1-3年,广州宸汐网络科技有限公司,10K-15K,广州-番禺区,全勤奖节日福利员工旅游五险一金年底双薪
UI设计师,国企,1000-9999人,2019-09-19 15:29:57,本科,软件/互联网开发/系统集成,3-5年,五矿证券有限公司,10K-15K,深圳,
招聘ui设计师+双休+高薪,民营,100-499人,2019-09-19 09:10:46,大专,软件/互联网开发/系统集成,不限,常州极客营信息科技有限公司,6K-8K,常州,周末双休五险一金年底双薪绩效奖金弹性工作
急招UI网页设计师助理,民营,不限,2019-09-19 10:06:00,中专,土木/建筑/装修/市政工程,不限,广州青迈信息技术有限公司,4K-6K,广州-白云区,五险一金年底双薪绩效奖金全勤奖包住
