职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
IT助理工程师,外商独资,1000-9999人,2019-09-20 00:51:41,本科,IT运维/技术支持,不限,瑞仪光电（南京）有限公司,4K-5.5K,南京-栖霞区,五险一金包吃包住定期体检免费班车
网络推广,民营,100-499人,2019-09-20 00:50:49,大专,客服/售前/售后技术支持,3-5年,广东瑞森半导体科技有限公司,6K-8K,东莞,五险一金绩效奖金包吃包住交通补助
运营督导,民营,100-499人,2019-09-20 00:51:20,本科,教育/培训,1-3年,北京优游宝贝教育咨询有限公司,10K-15K,北京,绩效奖金五险一金股票期权年终分红加班补助
结构工程师,其它,100-499人,2019-09-20 00:50:28,本科,机械设计/制造/维修,1-3年,常州市武进区半导体照明应用技术研究院,8K-10K,常州-武进区,绩效奖金餐补员工旅游节日福利五险一金
仪器仪表开发工程师,民营,20-99人,2019-09-20 00:51:13,硕士,电子/电器/半导体/仪器仪表,1-3年,南京思摩特传感器有限公司,6K-8K,南京,创业公司健身俱乐部周末双休五险一金绩效奖金
文员,民营,20人以下,2019-09-20 13:33:03,本科,行政/后勤/文秘,3-5年,西安康奇电子信息技术有限公司,4K-6K,西安-碑林区,五险一金全勤奖绩效奖金餐补员工旅游
销售工程师,上市公司,1000-9999人,2019-09-20 00:50:54,大专,销售业务,1-3年,杭州立方控股股份有限公司,4K-6K,长沙-岳麓区,五险一金绩效奖金带薪年假员工旅游周末双休
渠道销售代表-安防行业,民营,20-99人,2019-09-20 00:50:50,大专,销售管理,1-3年,四川远瞻电子科技有限公司,6K-12K,成都-成华区,五险一金绩效奖金全勤奖节日福利每年多次调薪
机械结构设计工程师[深圳],民营,100-499人,2019-09-20 00:50:38,大专,机械设计/制造/维修,5-10年,深圳市时纬自动化有限公司,10K-20K,深圳,五险一金绩效奖金带薪年假员工旅游节日福利
研发主管工程师,其它,20-99人,2019-09-20 00:52:39,大专,软件/互联网开发/系统集成,3-5年,广西顶航信息产业股份有限公司,15K-30K,南宁,绩效奖金加班补助餐补交通补助全勤奖
营业员,民营,100-499人,2019-09-20 00:51:31,学历不限,商超/酒店/娱乐管理/服务,不限,深圳市机器时代科技有限公司,4K-8K,福州,五险一金绩效奖金带薪年假节日福利创业公司
人事专员,民营,20-99人,2019-09-20 00:52:13,大专,人力资源,1-3年,深圳市普利达电子有限公司,5K-8K,深圳,包住
嵌入式硬件工程师,股份制企业,20人以下,2019-09-20 00:51:21,本科,硬件开发,1-3年,南京苏育文科教设备有限公司,6K-8K,南京,周末双休绩效奖金员工旅游节日福利五险一金
技术经理,民营,20-99人,2019-09-20 00:52:06,大专,IT管理/项目协调,5-10年,厦门熙重电子科技有限公司,15K-20K,厦门-湖里区,五险一金年底双薪周末双休节日福利带薪年假
销售工程师（深圳）,民营,20-99人,2019-09-20 00:51:03,大专,销售业务,1-3年,上海全一通讯技术有限公司,4.5K-9K,深圳-福田区,五险一金年底双薪绩效奖金通讯补助交通补助
android开发工程师,民营,100-499人,2019-09-20 00:52:28,本科,软件/互联网开发/系统集成,3-5年,苏州融硅新能源科技有限公司,10K-15K,苏州-高新区,创业公司加班补助带薪年假节日福利上六休一
高薪诚聘招聘专员6000+,上市公司,1000-9999人,2019-09-20 00:50:56,大专,人力资源,不限,摩托罗拉(武汉)移动技术通信有限公司,6K-10K,武汉-江夏区,绩效奖金节日福利全勤奖带薪年假无试用期
课程顾问（海上世界）,民营,100-499人,2019-09-20 00:51:47,大专,销售业务,不限,深圳市科睿机械人教育科技有限公司,6K-8K,深圳-南山区,五险一金包住带薪年假弹性工作补充医疗保险
销售工程师,民营,20-99人,2019-09-20 00:51:01,大专,销售业务,不限,河北嘉朗科技有限公司,4K-6K,石家庄,创业公司五险一金绩效奖金定期体检员工旅游
Java开发工程师,民营,100-499人,2019-09-20 00:51:11,大专,软件/互联网开发/系统集成,1-3年,广东博思信息技术有限公司,8K-10K,深圳,节日福利五险一金年底双薪绩效奖金带薪年假
部件销售工程师（开关电源/继电器/传感器/通讯模块）,民营,20人以下,2019-09-20 00:51:38,大专,销售业务,不限,合肥市博多电子有限公司,4K-6K,合肥,年底双薪绩效奖金交通补助通讯补助带薪年假
上海昌硕科技薪资6000-8000另外打卡55天8000元奖励,民营,100-499人,2019-09-20 00:50:10,学历不限,技工/操作工,不限,上海顺格企业服务外包有限公司,6K-8K,上海,五险一金年底双薪包吃包住餐补
招聘专员人事专员,上市公司,1000-9999人,2019-09-20 00:50:15,大专,人力资源,不限,摩托罗拉(武汉)移动技术通信有限公司,6K-10K,武汉-江夏区,绩效奖金节日福利全勤奖带薪年假
硬件工程师,民营,20-99人,2019-09-20 00:51:02,本科,硬件开发,3-5年,南京凌鸥创芯电子有限公司,10K-20K,南京,五险一金绩效奖金年终分红定期体检员工旅游
外贸专员,民营,20-99人,2019-09-20 00:52:31,大专,销售业务,不限,青岛鲁芯仪器有限公司,4K-7K,青岛,通讯补助带薪年假定期体检员工旅游节日福利
销售代表,合资,20-99人,2019-09-20 00:50:10,大专,销售业务,3-5年,北京乐鸟科技有限公司,15K-25K,北京-昌平区,五险一金绩效奖金年终分红
组装生产组长,民营,1000-9999人,2019-09-20 00:51:55,高中,生产管理/运营,1-3年,深圳市益光实业有限公司,6K-8K,深圳,五险一金包住餐补带薪年假
电气工程师/电气设计师,民营,20-99人,2019-09-20 00:51:39,大专,电子/电器/半导体/仪器仪表,不限,济南智星教学设备有限公司,6K-10K,济南,五险一金年终分红加班补助餐补交通补助
售后技术支持工程师,民营,20-99人,2019-09-20 14:06:34,大专,客服/售前/售后技术支持,不限,西安华傲通讯技术有限责任公司,4K-6K,西安-雁塔区,五险一金绩效奖金加班补助带薪年假补充医疗保险
PE工程师,民营,1000-9999人,2019-09-20 00:51:55,中专,生产管理/运营,1-3年,深圳市益光实业有限公司,6K-9K,深圳,五险一金包住餐补带薪年假
互联网销售经理+高底薪提成+奖金,合资,20-99人,2019-09-20 00:51:06,大专,销售管理,1-3年,济南云畅网络技术有限公司,8K-10K,济南-高新区,全勤奖绩效奖金五险一金员工旅游不加班
NET软件开发工程师,其它,20-99人,2019-09-20 00:52:18,大专,软件/互联网开发/系统集成,1-3年,广西顶航信息产业股份有限公司,8K-10K,南宁,年底双薪全勤奖加班补助餐补交通补助
招聘主管（美业）,民营,100-499人,2019-09-20 00:52:25,大专,人力资源,3-5年,北京凯尔斯科技开发有限公司,6K-8K,北京-大兴区,五险一金带薪年假节日福利周末双休饭补
销售代表、销售助理,股份制企业,100-499人,2019-09-20 00:51:15,大专,销售行政/商务,不限,湖北泰跃卫星技术发展股份有限公司,4K-6K,武汉,周末双休五险一金带薪年假节日福利年底双薪
商务助理,民营,20-99人,2019-09-20 00:50:19,大专,销售业务,不限,深圳市嘉泰智慧科技有限公司,4K-6K,上海,周末双休绩效奖金节日福利五险一金
电话销售,外商独资,100-499人,2019-09-20 00:50:53,学历不限,销售业务,不限,天津凯隆仪表科技有限公司,5K-8K,天津,餐补全勤奖通讯补助五险绩效奖金
品牌设计经理,民营,100-499人,2019-09-20 08:43:03,本科,市场,3-5年,南京沿途电子商务有限公司,12K-18K,南京,五险一金绩效奖金全勤奖带薪年假餐补
国内业务员,其它,20人以下,2019-09-20 09:40:21,中专,销售业务,1-3年,深圳市森美嘉电子有限公司,4K-6K,深圳,全勤奖不加班弹性工作五险一金员工旅游
EHS高级主管,民营,100-499人,2019-09-20 00:51:33,大专,环境科学/环保,5-10年,江苏晟驰微电子有限公司,6K-12K,南通,
成本预算员,民营,100-499人,2019-09-20 00:51:52,大专,土木/建筑/装修/市政工程,不限,泉州联众工贸有限公司,3.5K-5K,泉州,年底双薪交通补助房补通讯补助带薪年假
Marketing Engineer_TVS,外商独资,1000-9999人,2019-09-20 00:50:55,本科,市场,3-5年,万国半导体元件(深圳)有限公司上海分公司,10K-15K,深圳-南山区,补充医疗保险定期体检节日福利五险一金年底双薪
宽带装维人员,民营,20-99人,2019-09-20 00:51:42,中专,IT运维/技术支持,1-3年,沈阳万利通电子技术有限责任公司,4K-6K,沈阳-沈河区,绩效奖金全勤奖交通补助餐补弹性工作
测试工程师,外商独资,100-499人,2019-09-20 00:50:09,本科,IT质量管理/测试/配置管理,1-3年,瑞思特智能科技(天津)有限公司,4K-6K,天津,五险一金餐补员工旅游周末双休带薪年假
机械工程师,民营,20-99人,2019-09-20 00:51:39,大专,机械设计/制造/维修,1-3年,济南智星教学设备有限公司,6K-8K,济南,五险一金加班补助餐补全勤奖通讯补助
销售代表,民营,20人以下,2019-09-20 00:52:11,学历不限,销售业务,不限,四川容耀信息科技有限公司,5K-10K,成都,绩效奖金年底双薪交通补助员工旅游创业公司
电池营销总监,民营,100-499人,2019-09-20 00:51:00,大专,销售管理,5-10年,深圳粒德智能数码科技有限公司,10K-20K,新乡,周末双休包住节日福利包吃
人力资源高级主管,股份制企业,1000-9999人,2019-09-20 00:52:57,本科,人力资源,3-5年,山东金宝电子股份有限公司,6K-10K,烟台-招远市,五险一金带薪年假节日福利绩效奖金包住
嵌入式硬件与驱动工程师,民营,20人以下,2019-09-20 00:50:45,本科,硬件开发,1-3年,昆明文林博德信息有限公司,4K-6K,昆明,
销售经理,合资,20-99人,2019-09-20 00:52:31,大专,销售管理,1-3年,郑州捷顺科技有限公司,10K-20K,郑州,绩效奖金年底双薪五险一金包住节日福利
射频微波工程师,股份制企业,100-499人,2019-09-20 00:51:42,硕士,电子/电器/半导体/仪器仪表,3-5年,成都锐新科技有限公司,12K-20K,成都-高新西区,五险一金绩效奖金年终分红餐补定期团建
高薪诚聘招聘专员6000+,上市公司,1000-9999人,2019-09-20 00:50:15,大专,人力资源,不限,摩托罗拉(武汉)移动技术通信有限公司,6K-10K,武汉,绩效奖金节日福利全勤奖带薪年假无试用期
销售代表,民营,20-99人,2019-09-20 14:08:23,大专,销售业务,1-3年,山东沐谷物联科技有限公司,4K-6K,济南,
店长（清吧）,外商独资,100-499人,2019-09-20 00:52:01,大专,商超/酒店/娱乐管理/服务,1-3年,汉阳半导体(吴江)有限公司,6K-8K,苏州,
产品技术支持工程师,合资,20人以下,2019-09-20 00:52:33,大专,客服/售前/售后技术支持,1-3年,苏州斯德瑞机电科技有限公司,4K-6K,苏州,五险一金年底双薪绩效奖金全勤奖交通补助
专利代理人,民营,20-99人,2019-09-20 00:52:26,本科,机械设计/制造/维修,1-3年,西安通大专利代理有限责任公司,3K-6K,西安,五险一金年底双薪绩效奖金带薪年假弹性工作
销售工程师,民营,20人以下,2019-09-20 00:51:30,大专,销售业务,不限,陕西航信科工贸有限公司,6K-8K,西安,周末双休五险一金绩效奖金通讯补助交通补助
总经理,民营,500-999人,2019-09-20 00:50:28,大专,销售管理,5-10年,大连双泰科技有限公司,20K-30K,大连,
电商运营经理,民营,100-499人,2019-09-20 00:51:00,大专,销售行政/商务,1-3年,深圳粒德智能数码科技有限公司,4K-6K,新乡-红旗区,绩效奖金包吃包住周末双休节日福利
英语销售/国际贸易/外贸业务员,民营,20-99人,2019-09-20 00:51:03,大专,采购/贸易,无经验,深圳迈朴森科技有限公司,6K-12K,深圳,五险一金年底双薪全勤奖弹性工作员工旅游
网络运营,民营,20-99人,2019-09-20 00:51:23,本科,互联网产品/运营管理,1-3年,杭州比特信息技术有限公司,6K-10K,杭州,五险一金不加班周末双休带薪年假
