职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
IT计算机软件java/WEB/c语言/PHP储备干部,民营,20-99人,2019-09-20 11:50:25,大专,实习生/培训生/储备干部,不限,无锡辰达网络科技有限公司,4K-6K,无锡,五险一金全勤奖通讯补助年底双薪绩效奖金
php程序员,民营,20-99人,2019-09-20 08:40:53,大专,软件/互联网开发/系统集成,1-3年,福州快搜网络技术有限公司,6K-8K,福州,周末双休五险一金高温补贴节日福利
php开发工程师（初级）,民营,不限,2019-09-20 11:00:37,大专,软件/互联网开发/系统集成,不限,西安人瑞人力资源服务有限公司,10K-15K,北京,五险一金年底双薪绩效奖金节日福利员工旅游
PHP高级后端开发工程师,民营,100-499人,2019-09-20 14:05:23,大专,软件/互联网开发/系统集成,3-5年,福建票付通信息科技有限公司,8K-16K,福州,14薪每年多次调薪全勤奖五险一金周末双休
php开发工程师,民营,20-99人,2019-09-20 09:11:59,大专,软件/互联网开发/系统集成,1-3年,河南君安金融服务有限公司,8K-10K,郑州,全勤奖节日福利五险绩效奖金弹性工作
PHP工程师,民营,20-99人,2019-09-20 14:39:55,大专,软件/互联网开发/系统集成,1-3年,河北硕云网络科技有限公司,4K-6K,邯郸,创业公司不加班节日福利
中级php开发工程师,民营,100-499人,2019-09-20 10:55:21,大专,软件/互联网开发/系统集成,3-5年,湖南创业工场网络科技有限公司,8K-12K,长沙,五险一金绩效奖金带薪年假节日福利员工旅游
PHP开发工程师,民营,20-99人,2019-09-20 09:27:31,大专,软件/互联网开发/系统集成,3-5年,河南纤原网络科技集团有限公司,8K-10K,郑州,绩效奖金全勤奖节日福利五险带薪年假
高级php开发工程师,民营,20-99人,2019-09-20 13:37:03,大专,软件/互联网开发/系统集成,1-3年,山东小洋网络科技有限公司,6K-12K,临沂,五险一金绩效奖金年终分红股票期权加班补助
Php 开发工程师,民营,20-99人,2019-09-20 11:35:02,大专,软件/互联网开发/系统集成,3-5年,济南桥渡软件有限公司,8K-10K,济南,通讯补助带薪年假员工旅游节日福利服装补贴
PHP研发工程师,国企,100-499人,2019-09-20 14:16:20,本科,软件/互联网开发/系统集成,1-3年,北京安信天行科技有限公司,10K-15K,北京-海淀区,五险一金交通补助通讯补助带薪年假补充医疗保险
PHP开发助理,民营,100-499人,2019-09-20 11:34:53,学历不限,软件/互联网开发/系统集成,无经验,广州微咚互动科技有限公司,3K-5K,广州,节日福利周末双休五险一金全勤奖餐补
高级php开发工程师,民营,20人以下,2019-09-20 08:51:45,本科,软件/互联网开发/系统集成,3-5年,巨擎网络科技(济南)有限公司,8K-12K,武汉-洪山区,五险一金年底双薪绩效奖金全勤奖定期体检
php开发工程师,民营,20人以下,2019-09-20 09:59:17,大专,软件/互联网开发/系统集成,1-3年,深圳市笨鸟软件有限公司,6K-10K,深圳,创业公司每年多次调薪五险一金年底双薪带薪年假
PHP开发工程师,民营,100-499人,2019-09-20 14:01:22,大专,软件/互联网开发/系统集成,3-5年,湖南升隆实业集团有限公司,6K-8K,长沙,全勤奖带薪年假员工旅游节日福利年终分红
PHP开发工程师,民营,20人以下,2019-09-20 14:04:09,大专,软件/互联网开发/系统集成,3-5年,天津市雨润智慧健康信息咨询有限公司,7K-8K,天津-和平区,绩效奖金节日福利五险一金
PHP高级开发工程师,民营,20-99人,2019-09-20 14:20:06,学历不限,软件/互联网开发/系统集成,3-5年,深圳市久顺源科技有限公司,9K-18K,深圳,五险一金绩效奖金年终分红加班补助餐补
PHP高级开发工程师,民营,100-499人,2019-09-20 11:07:23,大专,软件/互联网开发/系统集成,1-3年,湖南盖诺贸易有限公司,8K-12K,长沙-雨花区,五险一金年底双薪绩效奖金年终分红包吃
PHP网站技术开发工程师（可实习）,民营,20-99人,2019-09-20 10:53:13,本科,软件/互联网开发/系统集成,不限,杭州钜警佰源信息技术有限公司,6K-8K,杭州,绩效奖金全勤奖交通补助餐补房补
php开发工程师,民营,20-99人,2019-09-20 14:14:20,大专,软件/互联网开发/系统集成,3-5年,鼎派科技(杭州)有限公司,10K-15K,杭州,全勤奖带薪年假五险一金年终分红
php工程师,民营,20-99人,2019-09-20 14:03:13,本科,软件/互联网开发/系统集成,3-5年,北京小黄人科技有限公司,15K-20K,北京,五险一金餐补带薪年假全勤奖周末双休
PHP（双休+氛围好）,民营,20-99人,2019-09-20 11:28:08,学历不限,软件/互联网开发/系统集成,3-5年,长沙西格电子商务有限公司,6K-8K,长沙,
php(双休+氛围好）,民营,20-99人,2019-09-20 11:28:08,学历不限,软件/互联网开发/系统集成,1-3年,长沙西格电子商务有限公司,6K-9K,长沙,
PHP开发工程师,民营,20-99人,2019-09-20 10:50:32,大专,软件/互联网开发/系统集成,1-3年,山西鼎扬网络信息技术有限公司,4K-6K,太原,年终分红全勤奖创业公司定期团建
php开发工程师,合资,20-99人,2019-09-20 12:01:01,大专,软件/互联网开发/系统集成,3-5年,天津市莱斯宝科技有限公司,8K-15K,天津,五险一金带薪年假节日福利年终分红周末双休
php工程师,民营,20-99人,2019-09-20 09:49:46,本科,软件/互联网开发/系统集成,1-3年,上海盟鼎网络科技有限公司,6.5K-12K,上海,五险一金年底双薪绩效奖金
PHP工程师,民营,20-99人,2019-09-20 09:13:24,本科,软件/互联网开发/系统集成,5-10年,北京天坦呵呵软件有限责任公司,18K-30K,北京,五险一金绩效奖金加班补助房补带薪年假
PHP工程师,民营,1000-9999人,2019-09-20 11:11:03,大专,软件/互联网开发/系统集成,不限,武汉华中人瑞人力资源服务有限公司,8K-10K,北京,五险一金年底双薪绩效奖金餐补交通补助
php开发工程师,民营,20-99人,2019-09-20 10:04:48,本科,软件/互联网开发/系统集成,3-5年,河南喔轩网络科技有限公司,6K-8K,郑州,社保轮休弹性工作
php开发,民营,100-499人,2019-09-20 09:36:04,本科,软件/互联网开发/系统集成,不限,深圳尚米网络技术有限公司,8K-15K,深圳-宝安区,节日福利五险一金全勤奖员工旅游健身俱乐部
初级软件开发（PHP开发）,股份制企业,500-999人,2019-09-20 10:10:05,中专,软件/互联网开发/系统集成,不限,大连文海思创信息技术有限公司,3K-5K,大连,五险一金带薪年假节日福利绩效奖金加班补助
php开发工程师,民营,20人以下,2019-09-20 08:51:45,本科,软件/互联网开发/系统集成,3-5年,巨擎网络科技(济南)有限公司,8K-12K,济南,五险一金年底双薪绩效奖金全勤奖定期体检
PHP程序员 技术组长,股份制企业,20-99人,2019-09-20 10:11:31,大专,IT运维/技术支持,1-3年,南京国丹网络科技有限公司,5K-7K,南京,五险一金绩效奖金全勤奖包吃包住
急聘php工程师技术经理助理（技术总监带队）可优秀毕业生,股份制企业,20-99人,2019-09-20 12:29:37,本科,软件/互联网开发/系统集成,不限,宜宾宜坛液销售有限公司,6K-8K,成都-锦江区,五险一金交通补助弹性工作绩效奖金全勤奖
PHP技术,民营,20人以下,2019-09-20 09:08:31,本科,IT管理/项目协调,1-3年,长沙德尚网络科技有限公司,6K-8K,长沙,创业公司年底双薪绩效奖金年终分红加班补助
php实习生,民营,20-99人,2019-09-20 14:19:23,大专,软件/互联网开发/系统集成,不限,成都锐帆网智信息技术有限公司,3K-3.5K,成都,加班补助年底双薪五险一金周末双休定期体检
php开发工程师,民营,20-99人,2019-09-20 10:52:04,大专,软件/互联网开发/系统集成,1-3年,车队长科技(湖南)有限公司,8K-10K,长沙,五险一金加班补助全勤奖餐补股票期权
PHP开发工程师,民营,100-499人,2019-09-20 14:11:15,本科,软件/互联网开发/系统集成,1-3年,四川弘和通讯有限公司,9K-13K,成都,五险一金年底双薪绩效奖金交通补助餐补
PHP 工程师,民营,100-499人,2019-09-20 09:02:08,大专,软件/互联网开发/系统集成,1-3年,武汉市魅绅科技有限公司,6K-8K,武汉,五险一金定期体检员工旅游节日福利带薪年假
PHP开发工程师--急聘、高薪,民营,20-99人,2019-09-20 10:30:10,大专,软件/互联网开发/系统集成,不限,易营宝信息科技(北京)有限公司,8K-16K,济南,五险一金年底双薪绩效奖金加班补助带薪年假
php高级开发工程师,民营,20-99人,2019-09-20 10:14:40,本科,软件/互联网开发/系统集成,5-10年,广州壹零软件技术有限公司,12K-18K,广州-天河区,五险一金带薪年假定期体检员工旅游定期团建
软件开发php方向,民营,20-99人,2019-09-20 14:27:10,大专,软件/互联网开发/系统集成,1-3年,山东鸿运来信息科技有限公司,6K-8K,潍坊,五险一金绩效奖金房补全勤奖带薪年假
PHP工程师 php程序员 php开发,民营,20-99人,2019-09-20 14:24:46,大专,软件/互联网开发/系统集成,3-5年,郑州卡农企业管理咨询有限公司,6K-10K,郑州,年底双薪绩效奖金年终分红加班补助弹性工作
PHP开发工程师（中级）,国企,100-499人,2019-09-20 14:07:16,大专,软件/互联网开发/系统集成,1-3年,数安时代科技股份有限公司,10K-13K,广州,五险一金绩效奖金全勤奖餐补通讯补助
php,民营,20-99人,2019-09-20 14:08:06,学历不限,软件/互联网开发/系统集成,1-3年,喜唐(洛阳)信息科技有限公司,3K-6K,洛阳,年底双薪绩效奖金健身俱乐部不加班餐补
初级php开发工程师,股份制企业,20-99人,2019-09-20 09:38:21,大专,软件/互联网开发/系统集成,不限,沈阳凡辰科技有限公司,4K-6K,沈阳,周末双休五险一金年底双薪绩效奖金带薪年假
php开发工程师,民营,20-99人,2019-09-20 13:34:04,大专,软件/互联网开发/系统集成,1-3年,山东迈拉克数字科技有限公司,5K-10K,济南,全勤奖通讯补助绩效奖金带薪年假节日福利
PHP开发工程师,民营,20-99人,2019-09-20 10:10:03,本科,软件/互联网开发/系统集成,3-5年,福州大千网络科技有限公司,10K-15K,福州,五险一金年底双薪全勤奖带薪年假员工旅游
php开发工程师,民营,100-499人,2019-09-20 10:42:43,大专,软件/互联网开发/系统集成,1-3年,福建海媚数码科技有限公司,8K-15K,福州,周末双休五险一金绩效奖金带薪年假全勤奖
php开发工程师,民营,500-999人,2019-09-20 09:33:03,大专,软件/互联网开发/系统集成,1-3年,石家庄橙芽网络技术有限公司,4K-8K,石家庄,五险一金加班补助周末双休员工旅游节日福利
