职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
贝壳平台-招聘房产销售+4千底薪+师徒制+弹性工作+公司培训,民营,20-99人,2019-09-20 12:18:17,大专,房地产开发/经纪/中介,无经验,南京润驰置业顾问有限公司,6K-8K,南京,五险一金全勤奖弹性工作定期体检节日福利
风险总监/经理（投融资方向）,股份制企业,500-999人,2019-09-20 14:23:32,本科,银行,5-10年,深圳市滨海基金管理有限公司,20K-40K,广州-天河区,五险一金节日福利带薪年假带团队周末双休
投资顾问培育计划,民营,20-99人,2019-09-20 13:49:01,大专,银行,1-3年,深圳明时投资管理有限公司,8K-10K,深圳,五险一金年底双薪绩效奖金餐补全勤奖
酷狗黄反审核专员,民营,100-499人,2019-09-20 14:13:39,大专,互联网产品/运营管理,不限,洛阳艾克科技有限公司,2K-4K,洛阳-涧西区,五险一金绩效奖金带薪年假节日福利周末双休
金融实习生,民营,20-99人,2019-09-20 13:56:35,大专,证券/期货/投资管理/服务,不限,无锡品铠信息科技有限公司,6K-8K,无锡,周末双休五险一金绩效奖金全勤奖带薪年假
国内期货操盘手/交易员,民营,500-999人,2019-09-20 11:46:02,学历不限,证券/期货/投资管理/服务,不限,成都上同股权投资基金管理有限公司,30K-50K,天津,全勤奖绩效奖金年终分红周末双休全额公积金
阿里巴巴B2B国际事业部客户经理,民营,20人以下,2019-09-20 09:59:28,大专,销售业务,不限,上海跨进网络科技有限公司,8K-10K,上海,周末双休五险一金绩效奖金节日福利员工旅游
交通银行催收员,外商独资,100-499人,2019-09-20 13:19:42,大专,银行,不限,CBC(北京)信用管理有限公司山东分公司,4K-6K,济南,五险一金加班补助周末双休带薪年假定期体检
项目经理（交易所业务）,民营,20-99人,2019-09-20 11:12:48,大专,证券/期货/投资管理/服务,1-3年,华征(深圳)信息技术有限公司,8K-15K,深圳,五险一金年底双薪带薪年假周末双休节日福利
架构师,民营,100-499人,2019-09-20 11:50:57,本科,软件/互联网开发/系统集成,3-5年,融易行(天津)网络科技有限公司,15K-30K,上海,五险一金全勤奖定期体检节日福利定期团建
【58同城】汽车金融销售（通化市）,上市公司,10000人以上,2019-09-20 14:58:31,大专,销售业务,1-3年,北京五八信息技术有限公司长春分公司,4K-6K,通化-东昌区,五险一金采暖补贴带薪年假定期体检高温补贴
双休（龙华）催收客服,合资,100-499人,2019-09-20 13:56:35,学历不限,销售业务,不限,深圳市胜科企业管理有限公司,6K-8K,深圳-龙华新区,五险一金年底双薪绩效奖金全勤奖带薪年假
法务客服专员,合资,500-999人,2019-09-20 14:50:01,本科,客服/售前/售后技术支持,3-5年,苏州信义置业房产经纪有限公司,6K-8K,苏州,五险一金绩效奖金全勤奖带薪年假补充医疗保险
银行提醒客服(五险一金 无销售),民营,1000-9999人,2019-09-20 14:43:37,中技,客服/售前/售后技术支持,1-3年,上海迪扬信息科技有限公司,4K-6K,惠州-惠城区,五险一金绩效奖金加班补助全勤奖餐补
期货操盘手/交易员3W+500W实盘,民营,500-999人,2019-09-20 11:36:03,学历不限,证券/期货/投资管理/服务,不限,成都上同股权投资基金管理有限公司,30K-50K,成都,全勤奖绩效奖金年终分红周末双休全额公积金
平安银行催收员,外商独资,100-499人,2019-09-20 13:19:43,大专,银行,不限,CBC(北京)信用管理有限公司山东分公司,6K-8K,济南,五险一金周末双休员工旅游节日福利定期体检
北京高级催收专员,民营,100-499人,2019-09-20 14:09:03,学历不限,银行,不限,康得金控资产管理有限公司北京分公司,8K-10K,北京-东城区,五险一金年底双薪绩效奖金加班补助餐补
法务专员（可接收应届毕业生）,股份制企业,100-499人,2019-09-20 14:23:58,本科,律师/法务/合规,1-3年,南京无邪餐饮管理有限公司,4K-5K,南京,节日福利带薪年假每年多次调薪年底双薪周末双休
电话催收客服专员+五险一金,外商独资,10000人以上,2019-09-20 13:44:03,大专,客服/售前/售后技术支持,1-3年,捷信消费金融有限公司,4K-6K,天津-和平区,节日福利五险一金绩效奖金带薪年假定期体检
质检培训专员（双休+五险一金）,合资,1000-9999人,2019-09-20 13:39:35,大专,教育/培训,1-3年,上海唯渡网络科技有限公司,5K-6K,武汉,五险一金餐补试用期全额周末双休
投资分析员,民营,20人以下,2019-09-20 14:12:36,本科,证券/期货/投资管理/服务,3-5年,云南中滇铭道投资管理合伙企业(有限合伙),4K-6K,昆明-五华区,五险一金周末双休
期货操盘手/交易员/基金经理3W+500W实盘,民营,500-999人,2019-09-20 11:04:02,学历不限,证券/期货/投资管理/服务,不限,成都上同股权投资基金管理有限公司,30K-50K,成都,全勤奖绩效奖金年终分红周末双休全额公积金
贷后账户管理,股份制企业,500-999人,2019-09-20 11:51:45,大专,证券/期货/投资管理/服务,无经验,成都西南人瑞人力资源服务有限公司,8K-10K,成都,五险一金年底双薪绩效奖金餐补房补
直聘期货账户操作员,股份制企业,100-499人,2019-09-20 14:09:37,中技,采购/贸易,不限,西安鼎鑫汇业商务信息咨询有限公司,5K-10K,西安,全勤奖弹性工作不加班节日福利五险一金
法务专员,不限,20-99人,2019-09-20 14:02:15,本科,律师/法务/合规,1-3年,青岛巨融源投资有限公司,4K-6K,青岛,
外汇交易员（高薪+双休）,民营,100-499人,2019-09-20 10:51:39,学历不限,证券/期货/投资管理/服务,不限,安徽晟兴聚辉资产管理有限公司,20K-30K,南京,五险一金绩效奖金不加班周末双休大牛带队
总经理（供应链金融）,民营,20人以下,2019-09-20 14:20:32,本科,高级管理,10年以上,上海合普航空服务有限公司,50K-80K,贵阳-云岩区,五险一金带薪年假周末双休绩效奖金
商品数据专员,民营,100-499人,2019-09-20 13:43:17,大专,销售管理,1-3年,哈尔滨煜尚雪品牌管理有限公司,4K-6K,哈尔滨,
初审专员-保定,民营,500-999人,2019-09-20 09:06:25,大专,银行,不限,北京极致车网科技有限公司,4K-5K,保定-北市区,餐补创业公司全勤奖带薪年假定期体检
贷款专员,股份制企业,不限,2019-09-20 11:31:51,中专,银行,1-3年,中国平安人寿保险股份有限公司内蒙古分公司呼和浩特市锡林南路营销服务部人力拓展部,5K-8K,呼和浩特,绩效奖金年终分红弹性工作补充医疗保险员工旅游
审核专员,民营,100-499人,2019-09-20 14:02:22,大专,证券/期货/投资管理/服务,1-3年,深圳市柏乐信息科技有限公司,6K-8K,深圳,五险一金年底双薪带薪年假弹性工作绩效奖金
高级操盘手工作时间自由 （外汇方向）,民营,20-99人,2019-09-20 13:27:30,学历不限,证券/期货/投资管理/服务,3-5年,大连云龙驰海商务咨询有限公司,15K-20K,大连,年终分红弹性工作五险一金年底双薪不加班
银行个贷经理,民营,1000-9999人,2019-09-20 11:05:25,大专,银行,不限,平安普惠信息服务有限公司成都宏济新路分公司,10K-15K,成都-锦江区,五险一金绩效奖金弹性工作补充医疗保险定期体检
客服专员+逾期处理+无加班,外商独资,10000人以上,2019-09-20 13:16:02,大专,客服/售前/售后技术支持,不限,捷信消费金融有限公司,4K-6K,天津-和平区,节日福利五险一金带薪年假定期体检绩效奖金
交易员（高薪+双休）,民营,100-499人,2019-09-20 10:51:21,学历不限,证券/期货/投资管理/服务,不限,安徽晟兴聚辉资产管理有限公司,20K-30K,南京,五险一金绩效奖金不加班周末双休大牛带队
大数据分析,民营,20-99人,2019-09-20 10:16:05,大专,互联网产品/运营管理,不限,陕西蘅梧装饰装修工程有限公司,4K-6K,西安,五险一金年底双薪周末双休绩效奖金年终分红
高级商务经理,民营,20-99人,2019-09-20 13:13:31,大专,销售管理,1-3年,北京墨霏科技有限公司上海分公司,10K-20K,北京,带薪年假定期体检五险一金周末双休员工旅游
诚聘二手车业务经理+五险 ,其它,100-499人,2019-09-20 12:35:02,学历不限,其他,不限,潍坊华尔汽车服务有限公司,4K-8K,潍坊,
java开发工程师,民营,1000-9999人,2019-09-20 09:44:18,本科,软件/互联网开发/系统集成,3-5年,江苏润和软件股份有限公司,12K-24K,深圳-南山区,五险一金餐补周末双休节日福利年底双薪
资产保全员包住,股份制企业,1000-9999人,2019-09-20 11:09:59,学历不限,银行,不限,合肥和君纵达数据科技有限公司,6K-8K,合肥,五险一金绩效奖金全勤奖包吃包住
副总经理,民营,20-99人,2019-09-20 14:47:54,大专,高级管理,3-5年,黑龙江隆先汽车服务有限公司,15K-20K,哈尔滨,五险一金绩效奖金年终分红带薪年假弹性工作
车贷销售团经理,合资,20-99人,2019-09-20 14:02:03,中专,销售管理,3-5年,浙江博拜融资租赁有限公司,25K-30K,杭州,五险一金绩效奖金全勤奖交通补助餐补
银行客户经理+正式编制,民营,1000-9999人,2019-09-20 11:05:20,大专,销售业务,不限,平安普惠信息服务有限公司成都宏济新路分公司,6K-8K,成都-锦江区,五险一金绩效奖金弹性工作补充医疗保险定期体检
汽车金融专员（底薪5100）,上市公司,10000人以上,2019-09-20 10:17:02,大专,银行,1-3年,中国平安人寿保险股份有限公司河南分公司刘永园,8K-10K,郑州-金水区,五险一金周末双休节日福利员工旅游每年多次调薪
