职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
web前端开发工程师,民营,20-99人,2019-09-20 14:13:03,大专,软件/互联网开发/系统集成,3-5年,北京爱惠员软件科技有限公司,5K-10K,石家庄,绩效奖金节日福利年底双薪年终分红每年多次调薪
Web前端开发工程师（包括实习生）,不限,100-499人,2019-09-20 11:34:20,大专,软件/互联网开发/系统集成,不限,上海煜喜环保科技有限公司,6K-8K,上海-静安区,周末双休五险一金年底双薪绩效奖金全勤奖
web前端工程师【五险一金】,民营,100-499人,2019-09-20 14:06:08,大专,软件/互联网开发/系统集成,1年以下,河南周游网络技术有限公司,5K-7K,郑州,创业公司五险一金加班补助不加班
拿高薪/web前端开发实习/升值快五险,民营,20-99人,2019-09-20 14:35:03,高中,软件/互联网开发/系统集成,无经验,郑州航艺广告有限公司,4K-6K,郑州,五险一金年底双薪绩效奖金餐补带薪年假
移动web前端开发工程师,民营,20-99人,2019-09-20 00:52:27,本科,软件/互联网开发/系统集成,1-3年,上海喜带实业有限公司,10K-20K,上海,五险一金创业公司餐补免费停车
Web前端开发工程师-sz,民营,100-499人,2019-09-20 00:51:26,本科,软件/互联网开发/系统集成,3-5年,迪原创新(北京)科技有限公司南京分公司,15K-26K,深圳-南山区,五险一金补充医疗保险弹性工作带薪年假定期体检
web前端开发工程师,民营,500-999人,2019-09-20 11:36:02,学历不限,软件/互联网开发/系统集成,不限,上海安秉信息技术有限公司,6K-8K,上海,五险一金全勤奖通讯补助采暖补贴包吃
web前端工程师,其它,100-499人,2019-09-20 14:41:31,本科,软件/互联网开发/系统集成,1-3年,北京人和易行科技有限公司,12K-19K,北京-朝阳区,节日福利员工旅游绩效奖金定期团建提供食宿
移动web前端开发工程师,民营,20-99人,2019-09-20 14:19:28,大专,软件/互联网开发/系统集成,3-5年,湖南壹卡多网络科技有限公司,8K-10K,长沙,节日福利定期团建五险一金年底双薪年终分红
web前端/web前端工程师,民营,100-499人,2019-09-20 11:38:27,大专,软件/互联网开发/系统集成,1-3年,深圳市佰事德科技有限公司,9K-15K,深圳-龙华新区,五险一金加班补助全勤奖带薪年假节日福利
web前端开发,民营,20-99人,2019-09-20 14:41:27,大专,软件/互联网开发/系统集成,1年以下,江西筋斗云网络科技有限公司,4K-6K,南昌,全勤奖弹性工作节日福利采暖补贴员工旅游
WEB前端开发,民营,20人以下,2019-09-20 13:26:01,大专,软件/互联网开发/系统集成,1-3年,杭州吉思信息技术有限公司,6K-10K,杭州-西湖区,年底双薪带薪年假员工旅游节日福利五险一金
移动web前端开发工程师,民营,20-99人,2019-09-20 14:11:12,大专,软件/互联网开发/系统集成,3-5年,江苏石头人信息科技有限公司,5K-10K,徐州,五险一金全勤奖带薪年假定期体检
WEB前端工程师,民营,20人以下,2019-09-20 13:36:21,本科,软件/互联网开发/系统集成,1-3年,天津云度科技有限公司,6K-12K,天津-滨海新区,五险一金年底双薪餐补带薪年假节日福利
web前端工程师(常驻广兰路职场）,民营,100-499人,2019-09-20 12:10:03,大专,软件/互联网开发/系统集成,3-5年,上海韦晴软件科技有限公司,10K-15K,上海,节日福利员工旅游五险一金
Web前端工程师,民营,20人以下,2019-09-20 14:10:30,学历不限,软件/互联网开发/系统集成,1-3年,江苏信悦信息科技有限公司,3.5K-5K,徐州,绩效奖金加班补助交通补助弹性工作节日福利
web前端开发助理/实习生,民营,20-99人,2019-09-20 13:51:27,大专,软件/互联网开发/系统集成,无经验,天津启航梦想企业孵化器有限公司,4K-6K,天津,周末双休五险一金年底双薪绩效奖金全勤奖
Web前端助理/Web前端工程师实习,民营,20-99人,2019-09-20 14:05:35,大专,土木/建筑/装修/市政工程,不限,深圳市云拓信息科技有限公司,4K-6K,深圳-南山区,五险一金公费旅游周末双休带薪年假包住
web前端大牛/中级web前端工程师,民营,100-499人,2019-09-20 09:32:04,大专,软件/互联网开发/系统集成,3-5年,上海族蚂信息科技有限公司,8K-16K,上海,提供食宿13薪带薪年假定期体检节日福利
web前端工程师,民营,100-499人,2019-09-20 09:28:19,大专,软件/互联网开发/系统集成,3-5年,北京众谊越泰科技有限公司,9K-14K,北京,五险一金带薪年假交通补助餐补定期体检
web前端,民营,20-99人,2019-09-20 14:01:35,大专,软件/互联网开发/系统集成,1-3年,湖南鼎太网络科技有限公司,4K-8K,长沙,全勤奖周末双休弹性工作节日福利带薪年假
（双休）+WEB前端开发实习生,民营,20-99人,2019-09-20 13:59:29,大专,软件/互联网开发/系统集成,不限,无锡辰达网络科技有限公司,4K-6K,无锡,五险一金全勤奖通讯补助年底双薪绩效奖金
web前端工程师,民营,100-499人,2019-09-20 14:34:03,本科,软件/互联网开发/系统集成,3-5年,北京国信智科科技有限公司,10K-15K,北京-丰台区,五险一金交通补助通讯补助带薪年假包吃
高级web前端开发工程师,民营,20-99人,2019-09-20 14:09:49,大专,软件/互联网开发/系统集成,3-5年,广州市简美网络科技有限公司,8K-10K,广州,餐补带薪年假员工旅游定期体检五险一金
web前端游戏开发,民营,100-499人,2019-09-20 14:04:09,大专,软件/互联网开发/系统集成,3-5年,厦门乘三乘五网络科技有限公司,15K-30K,成都,五险一金弹性工作绩效奖金员工旅游节日福利
web前端工程师,民营,20人以下,2019-09-20 10:03:28,大专,软件/互联网开发/系统集成,3-5年,上海炙火电子科技有限公司,6K-12K,上海,五险一金弹性工作节日福利带薪年假员工旅游
web前端开发工程师,股份制企业,100-499人,2019-09-20 14:17:15,大专,软件/互联网开发/系统集成,1-3年,北京中盈安信技术服务股份有限公司,6K-8K,北京-海淀区,节日福利餐补弹性工作五险一金绩效奖金
web前端游戏开发,民营,100-499人,2019-09-20 14:13:33,大专,软件/互联网开发/系统集成,3-5年,厦门乘三乘五网络科技有限公司,15K-30K,杭州,五险一金弹性工作绩效奖金员工旅游节日福利
超高薪聘请H5_Web前端开发工程师,民营,20-99人,2019-09-20 14:39:03,学历不限,软件/互联网开发/系统集成,不限,广州峰玉网络科技有限公司,15K-30K,广州-花都区,年底双薪绩效奖金年终分红包吃包住
java/web前端实习生,民营,100-499人,2019-09-20 09:35:48,中专,电子/电器/半导体/仪器仪表,不限,湖北众康空间体育产业孵化器有限公司,4.5K-7.5K,武汉-洪山区,五险一金全勤奖包吃包住年底双薪
web前端开发工程师,民营,20人以下,2019-09-20 13:31:04,大专,软件/互联网开发/系统集成,1-3年,江苏礼创网络科技有限公司,4K-6K,徐州,
web前端开发助理,合资,100-499人,2019-09-20 13:35:05,中技,烹饪/料理/食品研发,不限,深圳码上有电科技有限公司,4K-6K,深圳,五险一金年底双薪绩效奖金年终分红全勤奖
web前端开发工程师,国企,100-499人,2019-09-20 09:25:36,本科,软件/互联网开发/系统集成,1-3年,北京构力科技有限公司,12.5K-25K,北京,五险一金绩效奖金餐补补充医疗保险定期体检
web前端工程师,民营,1000-9999人,2019-09-20 09:44:55,本科,软件/互联网开发/系统集成,1-3年,江苏润和软件股份有限公司,12K-24K,深圳-南山区,五险一金餐补周末双休节日福利年底双薪
Web前端工程师,不限,20人以下,2019-09-20 14:19:28,大专,软件/互联网开发/系统集成,1-3年,深圳市优势联动科技有限公司,10K-15K,深圳,五险一金包住节日福利创业公司员工旅游
web前端工程师,民营,100-499人,2019-09-20 09:07:04,本科,软件/互联网开发/系统集成,3-5年,上海熙尊信息技术有限公司,10K-20K,上海-闵行区,年底双薪全勤奖带薪年假免费班车员工旅游
Web前端工程师助理,民营,500-999人,2019-09-20 11:35:26,大专,软件/互联网开发/系统集成,不限,上海安秉信息技术有限公司,6K-8K,上海,包吃五险一金全勤奖年底双薪包住
