职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
物业客服员（天桥无影山北）,股份制企业,500-999人,2019-09-20 14:10:31,中专,客服/售前/售后技术支持,不限,廊坊荣盛物业服务有限公司济南分公司,2K-4K,济南-天桥区,包住高温补贴员工旅游定期体检绩效奖金
物业副经理,民营,1000-9999人,2019-09-20 14:11:26,大专,项目管理/项目协调,3-5年,珠海市万维纵横物业服务有限公司,6K-8K,泉州-晋江市,五险一金节日福利绩效奖金定期体检带薪年假
物业管理员,股份制企业,不限,2019-09-20 14:09:32,大专,物业管理,3-5年,内蒙古今洁物业服务有限公司,2K-4K,包头,
万科物业2020届校园招聘（福州站）-,民营,20人以下,2019-09-20 14:10:03,本科,实习生/培训生/储备干部,无经验,厦门市万科物业服务有限公司福州分公司,4K-6K,福州-仓山区,五险一金带薪年假14薪节日福利定期体检
物业管理专员,国企,1000-9999人,2019-09-20 14:20:36,大专,物业管理,1年以下,深圳市鹏基物业管理服务有限公司,6K-8K,深圳,五险一金周末双休年底双薪带薪年假定期体检
物业保安主管,上市公司,10000人以上,2019-09-20 14:08:17,大专,社区/居民/家政服务,1-3年,上海万科物业服务有限公司宁波分公司,6K-8K,宁波,五险一金年底双薪绩效奖金加班补助餐补
物业中心总监/物业部经理（锦荣商贸城）,民营,100-499人,2019-09-20 14:11:37,大专,物业管理,5-10年,河南润文商贸有限公司,8K-15K,郑州,五险一金年底双薪全勤奖餐补员工旅游
物业管理经理,国企,100-499人,2019-09-20 14:06:07,本科,物业管理,5-10年,通号建设集团有限公司湖南分公司,7K-12K,长沙-岳麓区,绩效奖金高温补贴周末双休定期体检节日福利
物业经理,民营,100-499人,2019-09-20 10:20:02,大专,物业管理,3-5年,武汉颐禾置业有限公司,6K-7K,武汉,
万科物业人事专员（宁海）,上市公司,10000人以上,2019-09-20 14:05:01,大专,人力资源,1-3年,上海万科物业服务有限公司宁波分公司,4K-4.5K,宁波,绩效奖金餐补通讯补助带薪年假年底双薪
万科物业2020届万物生-工程运营岗,民营,20人以下,2019-09-20 14:04:28,本科,实习生/培训生/储备干部,无经验,厦门市万科物业服务有限公司福州分公司,4K-6K,福州-仓山区,五险一金带薪年假14薪节日福利定期体检
物业客服员,国企,100-499人,2019-09-20 14:04:30,学历不限,物业管理,1-3年,北京华通鸿达物业服务有限责任公司石家庄分公司,2K-4K,石家庄,餐补带薪年假加班补助年底双薪通讯补助
万科物业行政专员（鄞州）,上市公司,10000人以上,2019-09-20 14:04:12,大专,行政/后勤/文秘,1-3年,上海万科物业服务有限公司宁波分公司,4K-5K,宁波,绩效奖金餐补通讯补助带薪年假定期体检
物业市场拓展经理,民营,500-999人,2019-09-20 11:23:59,本科,市场,5-10年,沈阳明德物业服务有限公司,6K-8K,沈阳,五险一金餐补绩效奖金股票期权带薪年假
商业物业经理,民营,不限,2019-09-20 11:58:36,中专,物业管理,1-3年,惠州市子嘉物业服务有限公司,6K-8K,惠州,
物业副总经理,民营,100-499人,2019-09-20 14:26:48,大专,物业管理,5-10年,涞源县宏伟置业房地产开发有限公司,10K-15K,保定,包吃包住
高薪诚聘物业经理,民营,100-499人,2019-09-20 10:42:09,大专,物业管理,3-5年,呼和浩特市梅江物业服务有限公司,8K-10K,呼和浩特,
物业助理,股份制企业,1000-9999人,2019-09-20 14:19:30,中专,客服/售前/售后技术支持,1-3年,福建东百集团股份有限公司,4K-4.5K,福州-鼓楼区,五险一金餐补带薪年假定期体检节日福利
