职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
银行柜员,民营,100-499人,2019-09-17 08:45:00,大专,银行,不限,重庆市创富教育咨询有限公司,4K-6K,重庆,绩效奖金弹性工作带薪年假五险一金年底双薪
银行公积金柜员（周末双休+宝安西乡）,民营,10000人以上,2019-09-20 09:59:41,大专,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳-宝安区,五险一金绩效奖金不加班节日福利高温补贴
网上银行柜员+新平台，发展好5千116,民营,100-499人,2019-09-19 18:06:17,大专,客服/售前/售后技术支持,不限,成都行迹科技有限公司,4K-6K,成都-高新区,五险一金全勤奖餐补节日福利绩效奖金
银行公积金柜员可转编制（龙岗天安数码城）,民营,10000人以上,2019-09-20 10:00:06,本科,银行,不限,银雁科技服务集团股份有限公司,6K-8K,深圳-龙岗区,五险一金免费班车周末双休带薪年假
网上银行柜员+保底3500元116,民营,20-99人,2019-09-19 18:06:33,大专,客服/售前/售后技术支持,不限,合肥友惠企业咨询服务有限公司,3.5K-6.5K,成都-天府新区,五险一金餐补绩效奖金加班补助
襄城县银行柜员筹备,民营,100-499人,2019-09-20 09:55:58,大专,其他,无经验,河南实诺金融服务有限公司,2K-3K,许昌,节日福利绩效奖金五险
某商业银行公积金柜员岗（轻松稳定、龙岗平湖广场）,民营,10000人以上,2019-09-20 10:01:38,大专,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳,五险一金绩效奖金周末双休
急聘银行柜员,上市公司,不限,2019-09-11 18:16:49,大专,银行,不限,中国平安人寿保险股份有限公司成都电话销售中心武侯分部彩虹部,6K-8K,成都,全勤奖五险一金年底双薪不加班周末双休
国企银行柜员/应届生,国企,10000人以上,2019-09-13 11:26:29,中专,销售业务,不限,太平人寿保险有限公司庐江支公司,8K-10K,黄冈-黄梅县,国企直招银行平台六险两金周末双休年底双薪
公积金柜员，可转银行正编,银行,100-499人,2019-09-15 16:09:46,本科,银行,不限,深圳市昆盛企业管理咨询有限公司,6K-8K,深圳-福田区,五险一金绩效奖金全勤奖年底双薪不加班
银行公积金柜员可转编制（南山前海）,民营,10000人以上,2019-09-20 10:00:06,本科,银行,不限,银雁科技服务集团股份有限公司,6K-8K,深圳-南山区,五险一金免费班车周末双休带薪年假
平安银行柜员,民营,1000-9999人,2019-09-02 21:45:46,大专,银行,不限,中国平安人寿保险股份有限公司重庆市江北支公司五里店营业部精英养成部,6K-8K,重庆,绩效奖金带薪年假五险一金年底双薪年终分红
银行柜员（急）,上市公司,不限,2019-08-26 13:44:32,大专,银行,不限,中国平安人寿保险股份有限公司成都电话销售中心武侯分部阳光部,6K-8K,成都,五险一金全勤奖高温补贴周末双休节日福利
可转编制银行公积金柜员（龙岗天安数码城）,民营,10000人以上,2019-09-20 09:59:37,本科,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳-龙岗区,五险一金绩效奖金不加班节日福利高温补贴
某商业银行公积金柜员岗（可转编制+福田）,民营,10000人以上,2019-09-20 09:59:36,本科,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳,五险一金绩效奖金周末双休
