浦东,1室1厅1厨1卫,高楼层(共6层),34.3,1986,简装,无,165,444,1,18,165,9949,147
浦东,1室1厅1厨1卫,中楼层(共7层),50.93,未知,简装,无,240,509,1,14,53,4137,230
浦东,2室1厅1厨1卫,低楼层(共6层),76.95,1995,精装,无,410,29,1,6,9,673,382
浦东,2室2厅1厨1卫,高楼层(共14层),84.84,2014,毛坯,暂无数据,360,4,0,5,4,206,352.2
浦东,2室2厅1厨1卫,中楼层(共4层),82.25,2007,精装,无,148,8,0,1,6,247,143.5
浦东,1室1厅1厨1卫,中楼层(共18层),57,2013,精装,有,190,2,0,3,6,162,182.5
浦东,3室2厅1厨1卫,高楼层(共5层),105.92,1996,简装,无,348,861,1,34,111,9649,338
浦东,3室2厅1厨2卫,高楼层(共8层),123.39,未知,毛坯,暂无数据,640,241,1,88,70,6535,615
浦东,3室2厅1厨1卫,中楼层(共12层),94.77,未知,毛坯,有,350,404,1,49,43,7753,339
浦东,2室2厅1厨1卫,高楼层(共6层),74.61,2007,简装,无,275,212,1,99,109,5819,265
浦东,1室1厅1厨1卫,高楼层(共4层),52.75,2007,精装,无,175,143,1,6,37,2940,159.2
浦东,3室1厅1厨2卫,低楼层(共11层),109.72,2008,简装,有,566,53,0,8,5,702,545
浦东,1室1厅1厨1卫,中楼层(共6层),44.48,1995,简装,无,290,3,1,1,0,145,280
浦东,2室2厅1厨2卫,低楼层(共19层),115.66,2009,精装,有,738,23,0,6,4,498,707
浦东,3室2厅1厨1卫,中楼层(共13层),139.76,2003,精装,有,1100,36,1,70,49,1488,1090
浦东,3室2厅1厨1卫,低楼层(共5层),83,2013,精装,无,273,399,1,72,88,9716,268
浦东,2室2厅1厨1卫,低楼层(共9层),91,2006,精装,有,429,32,1,35,46,1353,425
浦东,3室1厅1厨1卫,高楼层(共6层),109,1994,精装,无,520,147,1,7,14,490,502.5
浦东,2室1厅1厨1卫,低楼层(共18层),71.25,2013,毛坯,暂无数据,218,77,1,27,24,644,218
浦东,2室2厅1厨1卫,高楼层(共13层),97.42,2010,精装,有,330,336,1,22,12,2468,319
浦东,2室1厅1厨1卫,高楼层(共6层),76.57,2005,精装,无,386,17,0,32,23,589,379
浦东,2室2厅1厨1卫,中楼层(共6层),83.31,2012,毛坯,无,230,277,1,21,28,4394,221
浦东,2室1厅1厨1卫,高楼层(共6层),76.87,2005,精装,无,475,74,1,4,6,640,460
浦东,2室1厅1厨1卫,高楼层(共6层),57.11,1994,简装,无,258,348,1,72,171,9337,254
浦东,2室2厅1厨1卫,低楼层(共13层),89.3,2011,精装,有,540,49,1,45,52,1273,515
浦东,2室2厅1厨1卫,低楼层(共6层),81.89,2000,简装,无,388,178,1,60,49,4388,379
浦东,2室2厅1厨2卫,中楼层(共26层),71.36,2015,精装,有,350,562,1,8,4,3630,335
浦东,3室2厅1厨2卫,低楼层(共14层),145,2009,精装,有,350,463,1,20,42,10868,320
浦东,3室2厅1厨1卫,中楼层(共5层),106.86,1996,精装,无,330,30,1,8,18,666,320
浦东,2室1厅1厨1卫,中楼层(共6层),71.15,1994,精装,无,270,288,1,27,42,6228,260
浦东,2室1厅1厨1卫,高楼层(共6层),73.99,2013,精装,无,262,27,1,11,6,663,253
浦东,2室2厅1厨1卫,低楼层(共11层),83.87,2009,精装,有,500,84,1,6,5,384,490
浦东,3室2厅1厨1卫,低楼层(共16层),97,未知,精装,暂无数据,320,87,1,9,15,1962,312
浦东,3室2厅1厨1卫,低楼层(共5层),81.55,2014,精装,无,290,148,1,18,45,2519,276
浦东,2室1厅1厨1卫,低楼层(共6层),58.92,1997,简装,无,275,210,1,20,4,783,265
浦东,2室1厅1厨1卫,低楼层(共6层),53.54,1987,精装,无,440,8,1,6,9,264,434
浦东,2室1厅1厨1卫,中楼层(共11层),73.73,2004,精装,有,408,5,0,5,12,189,388
浦东,2室1厅1厨1卫,高楼层(共6层),75.12,1995,简装,无,676,52,1,11,6,565,650
浦东,2室1厅1厨1卫,低楼层(共6层),51.19,1986,精装,无,478,8,1,9,8,273,478
浦东,2室1厅1厨1卫,中楼层(共6层),71,1993,精装,无,350,653,1,21,44,7091,338.5
浦东,3室2厅1厨1卫,中楼层(共11层),109.15,2004,精装,有,1250,224,1,21,23,2633,1220
浦东,1室1厅1厨1卫,中楼层(共6层),37.48,1992,精装,无,240,5,0,2,2,189,225.5
浦东,2室2厅1厨1卫,高楼层(共6层),83.63,2010,精装,无,360,265,1,8,50,1361,340
浦东,2室1厅1厨1卫,高楼层(共6层),54.43,2010,精装,无,450,71,0,14,86,1441,420
浦东,2室2厅1厨1卫,高楼层(共6层),84.52,2002,精装,无,589,279,1,50,227,12957,576
浦东,2室1厅1厨1卫,高楼层(共6层),61.33,1996,简装,无,285,247,1,19,27,1833,268
