ok,msg,created_at,ids,mid,can_edit,raw_text,source,user_description,user_follow_count,user_gender,user_id,user_mbrank,user_mbtype,user_profile_url,user_profile_image_url,user_screen_name,user_statuses_count,user_urank,user_verified,user_veridied_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,昨天 08:17,4386258896245115,4386258896245115,False,回复@决堤怎么提:我的天???这一层真的是2019的评论吗？？？？？我好怕????求求你们上个高中行吗？//@决堤怎么提:林志玲滚出中国,前置双摄vivo X9,敖子逸 姚景元,127,f,5108764399,2,2,https://m.weibo.cn/u/5108764399?uid=5108764399,https://tvax4.sinaimg.cn/crop.0.0.996.996.180/005zJQZNly8g2ndekuuqkj30ro0ro76i.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,昨天 06:25,4386230668476734,4386230668476734,False,怎么会嫁到日本去了呢？ 搞不懂？,vivo AI智慧拍照X21,将帅本无种，男儿当自强！！！,154,m,2806275624,1,2,https://m.weibo.cn/u/2806275624?uid=2806275624,https://tva4.sinaimg.cn/crop.0.0.480.480.180/a7445e28jw8enrlc13joxj20dc0dcjru.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,昨天 04:35,4386202977113648,4386202977113648,False,在中国赚够了 嫁到日本 嫁到天涯海角都没事 偏偏嫁到日本 别他妈来给我讲道理 老子就是看着来火,微博 weibo.com,,0,f,7049219469,0,0,https://m.weibo.cn/u/7049219469?uid=7049219469,https://tvax3.sinaimg.cn/crop.0.0.199.199.180/007H3O0dgy1g48xznt319j305k05kt8j.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,昨天 02:13,4386167119791631,4386167119791631,False,哭了 感动。。,微博 weibo.com,积极者相信只有推动自己才能推动世界，只要推动自己就能推动世界。,326,m,6383867020,0,0,https://m.weibo.cn/u/6383867020?uid=6383867020,https://tvax3.sinaimg.cn/crop.35.0.180.180.180/006Y23r6ly1fka91qpluxj306y050t95.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,昨天 01:08,4386150767109041,4386150767109041,False,转发微博,微博 weibo.com,性格开朗.,64788,f,2532658832,1,2,https://m.weibo.cn/u/2532658832?uid=2532658832,https://tva4.sinaimg.cn/crop.0.0.720.720.180/96f54e90jw8esyrj55uxpj20k00k0q4r.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-22,4386084940972159,4386084940972159,False,越来越觉得志玲姐姐是我偶像，学好日语，开拓结婚对象范围！[坏笑],iPhone客户端,粉红，west全员好感。💖❤️💚💜💙🧡💛。偶尔刷刷sexy zone。,470,f,1748022682,0,0,https://m.weibo.cn/u/1748022682?uid=1748022682,https://tvax2.sinaimg.cn/crop.0.0.750.750.180/6830b59aly8g3exwev426j20ku0kudgt.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-22,4386067937209276,4386067937209276,False,//@姚晨:相信爱情的人们，也终会被爱眷顾。[男孩儿][心][女孩儿],iPhone客户端,得之坦然、争其必然、顺其自然。,726,f,1763281115,1,2,https://m.weibo.cn/u/1763281115?uid=1763281115,https://tva2.sinaimg.cn/crop.0.0.750.750.180/691988dbjw8erbdwf2hvcj20ku0kut99.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-22,4386038476931289,4386038476931289,False,回复@小萝卜的心:av看多了？别用你那种龌龊的想法想别人//@小萝卜的心:回复@决堤怎么提:其实，志玲姐姐以后会活得很累，每天要防着公公，弟弟，哥哥，邻居，老公的上司，同事，送水的工人，查水表的，修水管的，坐在家都怕突然会闯进好几个光头大汉，出行还不能坐电车。最重要的，是不能当老师了。,iPhone客户端,一个华籍美人,281,f,3896051167,0,0,https://m.weibo.cn/u/3896051167?uid=3896051167,https://tvax3.sinaimg.cn/crop.0.0.750.750.180/e83905dfly8fgnxy3v4cwj20ku0kuwey.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-22,4385990522914616,4385990522914616,False,刚你讲，你给日本你老公一亿元吗？花姑娘,微博 weibo.com,,1,f,7049278257,0,0,https://m.weibo.cn/u/7049278257?uid=7049278257,https://tvax3.sinaimg.cn/crop.0.0.199.199.180/007H43ipgy1g49x674bz9j305k05kglf.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-22,4385966816646340,4385966816646340,False,阳刚味很足的男人，姐满有眼光的。婚前多年彼此了解，婚后的你们其实才刚刚相识，交际与婚姻是两个世界，两种处事，两个为人。经营好一段婚姻才是最后的人生赢家,微博 weibo.com,,870,f,5794460385,0,0,https://m.weibo.cn/u/5794460385?uid=5794460385,https://tva3.sinaimg.cn/crop.0.0.200.200.180/006k8XQtjw8ez899sagpoj305k05kt8q.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
