保姆,国企,20-99人,2019-09-18 17:50:05,学历不限,社区/居民/家政服务,不限,《时代书画报》社有限公司,4K-6K,北京,包吃包住
保姆月嫂无经验可培训,民营,100-499人,2019-09-17 10:19:45,学历不限,社区/居民/家政服务,不限,深圳市好满意家政服务有限公司,6.5K-12K,深圳-龙华新区,五险一金包吃包住弹性工作补充医疗保险
6000急招保姆无经验 ,民营,100-499人,2019-09-18 10:16:14,学历不限,社区/居民/家政服务,不限,成都市若爱家庭服务有限公司,3.5K-6.5K,成都,五险一金全勤奖加班补助包住包吃
急招保姆.月嫂.家政服务人员,民营,100-499人,2019-09-17 10:19:50,学历不限,社区/居民/家政服务,不限,深圳市好满意家政服务有限公司,6K-8K,深圳-龙华新区,五险一金年底双薪绩效奖金全勤奖包吃
保姆招商,股份制企业,100-499人,2019-09-05 17:46:46,大专,客服/售前/售后技术支持,1-3年,北京好孕妈妈教育咨询有限公司,5K-8K,广州,五险一金包住餐补加班补助弹性工作
住家保姆,国企,20-99人,2019-09-18 17:50:18,学历不限,社区/居民/家政服务,不限,《时代书画报》社有限公司,4K-6K,北京,包吃包住
急招家政保姆/新熟手均可,民营,100-499人,2019-09-17 10:19:52,学历不限,社区/居民/家政服务,不限,深圳市好满意家政服务有限公司,6K-12K,深圳-龙华新区,定期体检补充医疗保险弹性工作包吃包住
若爱家政急招住家保姆,民营,100-499人,2019-09-18 10:14:03,学历不限,社区/居民/家政服务,不限,成都市若爱家庭服务有限公司,2K-4K,成都,年底双薪包住包吃全勤奖定期体检
保姆培训师,民营,100-499人,2019-09-07 15:39:45,中专,人力资源,3-5年,厦门好邦伲家政服务有限公司,4K-6K,深圳-福田区,五险一金绩效奖金带薪年假
8千急招有无经验保姆/护工/月嫂/育婴师/老人护理,民营,100-499人,2019-09-19 15:33:51,学历不限,社区/居民/家政服务,不限,深圳市英港多多家政服务有限公司,6K-12K,深圳,年底双薪包住包吃带薪年假加班补助
保姆护工 包吃住 ,股份制企业,1000-9999人,2019-09-04 10:06:30,学历不限,社区/居民/家政服务,不限,点米立德(深圳)科技有限公司,4K-6K,成都-成华区,五险一金绩效奖金试用期全额高温补贴不加班
急招家政人员/保姆/钟点工数名,民营,100-499人,2019-09-17 10:19:53,学历不限,社区/居民/家政服务,不限,深圳市好满意家政服务有限公司,6K-12K,深圳-龙华新区,定期体检补充医疗保险弹性工作包吃包住
急招有无经验保姆/护工/月嫂/育婴师/老人护理 月入过万不是梦,民营,100-499人,2019-09-19 15:34:03,学历不限,社区/居民/家政服务,不限,深圳市英港多多家政服务有限公司,7K-10K,深圳,年底双薪包住包吃带薪年假加班补助
